XID,Phase,Project Name,Project Status,Video Count,Review Count,Image Count
374315,MB  Phase 1,Shalimar One World Valencia County,Under Construction,0,16,0
374375,MB  Phase 1,Sheth 72 West,Under Construction,0,16,19
374899,MB  Phase 1,Trident Embassy Reso,Under Construction,10,16,19
374970,MB  Phase 1,DSR Elixir,Under Construction,1,16,43
374996,MB  Phase 1,Vertex Kingston Park,Under Construction,2,16,41
375353,MB  Phase 1,SKA Orion,Under Construction,6,16,22
375399,MB  Phase 1,Ira Miracle,Under Construction,0,16,19
375577,MB  Phase 1,IRA Aspirations,Under Construction,3,16,36
375851,MB  Phase 1,Triaxis Splendour,Under Construction,1,16,9
375852,MB  Phase 1,DS MAX SkyShubham,Under Construction,0,16,9
375918,MB  Phase 1,Aparna Sarovar Zicon,Under Construction,0,16,22
376104,MB  Phase 1,Modi Serene Park,Under Construction,0,1,6
376145,MB  Phase 1,The Poem by Shriram Properties,Under Construction,1,1,9
376373,MB  Phase 1,Vertex Viraat,Under Construction,3,1,12
376632,MB  Phase 1,Harnarain Aeropolis,Under Construction,0,1,8
376683,MB  Phase 1,Solaris Plus,Under Construction,1,1,9
376821,MB  Phase 1,ATS Kingston Heath,Under Construction,6,1,6
377050,MB  Phase 1,Benchmark Aspire,Under Construction,0,1,6
377188,MB  Phase 1,Apex Celest,Under Construction,0,9,55
377702,MB  Phase 1,Sobha Manhattan Towers Town Park,Under Construction,6,9,20
377935,MB  Phase 1,V3 Kalasagar Skies,Under Construction,1,9,32
378115,MB  Phase 1,Hallmark Skyrena,Under Construction,3,9,63
378409,MB  Phase 1,Ace Starlit,Under Construction,4,5,23
378411,MB  Phase 1,Eon Akash B and C,Under Construction,0,5,19
378617,MB  Phase 1,Suchirindia The Tales of Greek,Under Construction,1,5,13
378890,MB  Phase 1,Greenfield Diamond Avenue,Under Construction,0,5,43
378931,MB  Phase 1,L & T Veridian at Emerald Isle,Under Construction,1,5,28
379234,MB  Phase 1,Sri Vathsas Sterling Abode,Under Construction,0,5,9
379240,MB  Phase 1,Provident Sunworth,Under Construction,2,16,19
379347,MB  Phase 1,ARV Uthville,Under Construction,4,16,12
379399,MB  Phase 1,Sattva Ashraya,Under Construction,2,3,2
379586,MB  Phase 1,Excellaa Tremont,Under Construction,0,3,18
379597,MB  Phase 1,Agarwal Floresta Maple,Under Construction,1,3,16
379727,MB  Phase 1,Gothic Pentagon Clouds,Under Construction,1,3,15
379760,MB  Phase 1,Hallmark Treasor,Under Construction,5,3,61
379918,MB  Phase 1,Nimbus Express Park View II Low Rise,Under Construction,0,3,30
379927,MB  Phase 1,Rising Sun Midtown Bay,Under Construction,2,3,10
380395,MB  Phase 1,Vision Aristo,Under Construction,2,3,59
380808,MB  Phase 1,Swati Senor,Under Construction,1,3,21
380922,MB  Phase 1,Shanta Silpas Kalpavriksha,Under Construction,1,3,20
381481,MB  Phase 1,Platinum 53 West,Under Construction,0,3,12
381615,MB  Phase 1,Kunal The Canary,Under Construction,0,15,37
381755,MB  Phase 1,GK Aarcon,Under Construction,3,15,40
381799,MB  Phase 1,DRA D Elite,Under Construction,1,15,7
382046,MB  Phase 1,ATS Pious Orchards,Under Construction,1,15,13
382172,MB  Phase 1,Sukhwani Kingsley,Under Construction,6,15,13
382236,MB  Phase 1,Merlin Rise Sports Republic Phase 1 A,Under Construction,10,15,16
382262,MB  Phase 1,Vitalis,Under Construction,0,15,6
382710,MB  Phase 1,VTP Skylights Verve,Under Construction,3,4,10
382816,MB  Phase 1,Botanica,Under Construction,2,4,44
382996,MB  Phase 1,Metro Regents Park,Under Construction,3,4,6
383398,MB  Phase 1,Praneeth KKRs Pranav Jaitra,Under Construction,0,4,8
383662,MB  Phase 1,Primarks Eco Nest,Under Construction,3,4,14
383708,MB  Phase 1,Aparna Zenon,Under Construction,6,4,35
383882,MB  Phase 1,Rustomjee Uptown Urbania,Under Construction,2,4,44
383939,MB  Phase 1,Concorde Opus II,Under Construction,0,4,0
383945,MB  Phase 1,Eden Willow Estate,Under Construction,0,4,16
384098,MB  Phase 1,Roseate Homes,Under Construction,0,4,13
384290,MB  Phase 1,Godrej Park Retreat,Under Construction,10,4,27
384755,MB  Phase 1,Jhamtani Ace Abode,Under Construction,2,4,13
384964,MB  Phase 1,Sheth Vasant Blossom,Under Construction,1,4,43
385000,MB  Phase 1,Assetz Marq 3.0,Under Construction,1,4,17
385178,MB  Phase 1,Nambiar Millennia,Under Construction,4,4,8
385349,MB  Phase 1,Meridian Park at The Prestige City,Under Construction,7,4,20
385408,MB  Phase 1,Nyati Era,Under Construction,5,4,18
386131,MB  Phase 1,Venkatesh Erandwane Central,Under Construction,6,4,41
386719,MB  Phase 1,DLH Legacy,Under Construction,0,4,5
386756,MB  Phase 1,Mantra Mirari,Under Construction,4,4,20
386817,MB  Phase 1,Shevi Utopia Gold,Under Construction,1,4,9
386987,MB  Phase 1,DS MAX Sukruth,Under Construction,1,2,14
386991,MB  Phase 1,Sentient Heavie Eden,Under Construction,0,2,29
386994,MB  Phase 1,Sumadhura Aspire Amber,Under Construction,1,2,7
386997,MB  Phase 1,Land Capital Calista,Under Construction,1,2,25
387255,MB  Phase 1,L&T Elixir Reserve,Under Construction,3,2,9
387280,MB  Phase 1,JOY by Shrinivas Organisors,Under Construction,0,2,9
387488,MB  Phase 1,Radhey Raaga,Under Construction,1,2,24
387813,MB  Phase 1,Lodha Bellagio,Under Construction,1,2,7
388006,MB  Phase 1,Paradise Sai Sun City,Under Construction,10,2,14
388125,MB  Phase 1,Safal Riviera Aspire,Under Construction,2,2,15
388179,MB  Phase 1,VTP Bellissimo,Under Construction,0,2,6
388209,MB  Phase 1,Sharanya Altura,Under Construction,5,2,45
388275,MB  Phase 1,Aishwaryam Insignia,Under Construction,3,2,18
388670,MB  Phase 1,Kalyan Skyway 9,Under Construction,0,2,24
389184,MB  Phase 1,Arista Eminence 96,Under Construction,0,2,52
389216,MB  Phase 1,Sureka Sunrise Aura,Under Construction,7,2,14
389272,MB  Phase 1,Casagrand Aquene,Under Construction,4,1,6
389421,MB  Phase 1,Landcare Pride Panorama,Under Construction,4,1,10
390295,MB  Phase 1,Shubhyuvi Paradigm Anantaara,Under Construction,2,1,1
390851,MB  Phase 1,Raghav Paradise,Under Construction,0,1,4
391272,MB  Phase 1,Sukra Majesticka Grande,Under Construction,0,1,6
391738,MB  Phase 1,Sattva Aeropolis,Under Construction,2,1,19
391740,MB  Phase 1,Sattva Aqua Vista,Under Construction,4,1,31
391947,MB  Phase 1,Ananyas AA Garden,Under Construction,0,1,18
391991,MB  Phase 1,Theme Imperial,Under Construction,0,1,34
392369,MB  Phase 1,DSR Highland Greenz,Under Construction,3,1,26
393021,MB  Phase 1,Gemini Aster,Under Construction,0,1,31
393052,MB  Phase 1,Skymarq By DSR,Under Construction,1,1,19
393562,MB  Phase 1,Polaris Casarica,Under Construction,1,1,12
393708,MB  Phase 1,Gaurs The Islands,Under Construction,3,1,12
393900,MB  Phase 1,Eka Elitas,Under Construction,0,1,11
394019,MB  Phase 1,Mohan Precious Greens,Under Construction,5,1,2
394292,MB  Phase 1,Ratna Prabha Apartments,Under Construction,0,1,0
394631,MB  Phase 1,Altezza,Under Construction,0,1,35
394748,MB  Phase 1,Adish Aradhra,Under Construction,0,1,14
394877,MB  Phase 1,Goyal My Homes Wakad,Under Construction,3,1,10
394878,MB  Phase 1,Aaiji Crystal,Under Construction,2,3,5
394931,MB  Phase 1,Raj High Gardens,Under Construction,2,3,18
395174,MB  Phase 1,Promax Dreamville Home,Under Construction,0,3,0
395251,MB  Phase 1,Vishwanath Sarathya West,Under Construction,2,3,8
395412,MB  Phase 1,Ashiana Malhar,Under Construction,5,3,27
395606,MB  Phase 1,Maple Sky Residences At Navins Starwood Towers,Under Construction,0,3,32
395609,MB  Phase 1,Ambuja Urvisha The Condoville,Under Construction,0,3,27
395716,MB  Phase 1,Fusion The Brook,Under Construction,7,3,17
395806,MB  Phase 1,DAC Prathyangira,Under Construction,1,3,20
396053,MB  Phase 1,Vivaan Ixora,Under Construction,0,3,17
396174,MB  Phase 1,Dharti Skyline,Under Construction,1,3,17
396695,MB  Phase 1,JRC Wild Woods,Under Construction,2,3,27
396698,MB  Phase 1,Mars The Planet,Under Construction,0,3,5
396796,MB  Phase 1,Pristine iLife Mundhwa,Under Construction,2,2,15
396799,MB  Phase 1,Keya Around The Life,Under Construction,5,2,21
396805,MB  Phase 1,Prestige Glenbrook,Under Construction,5,2,21
396925,MB  Phase 1,Majestique The Ornate,Under Construction,0,2,12
396980,MB  Phase 1,Atri Rays,Under Construction,4,2,20
397113,MB  Phase 1,Honeybird Sanctorum,Under Construction,2,2,19
397582,MB  Phase 1,Om Sree Gallaxy,Under Construction,0,2,30
397709,MB  Phase 1,Godrej Woodsville,Under Construction,10,2,25
397833,MB  Phase 1,Brigade Horizon,Under Construction,5,2,12
397983,MB  Phase 1,Pavani Mirabilia,Under Construction,3,3,35
398191,MB  Phase 1,Godrej Green Estate,Under Construction,3,3,16
398215,MB  Phase 1,EIPL CORNERSTONE,Under Construction,2,3,56
398444,MB  Phase 1,Radiance Flourish,Under Construction,2,3,37
398586,MB  Phase 1,Ceratec Presidential Towers,Under Construction,1,3,12
398743,MB  Phase 1,Nahar Grandeur,Under Construction,0,3,14
398757,MB  Phase 1,Trendsquares Ortus III,Under Construction,0,3,52
398803,MB  Phase 1,Swati Symphony,Under Construction,1,3,21
399073,MB  Phase 1,SBR Minara,Under Construction,3,3,3
399106,MB  Phase 1,Arihant One,Under Construction,9,3,12
399112,MB  Phase 1,Radiance Majestic,Under Construction,1,3,9
399334,MB  Phase 1,Chheda Avighna,Under Construction,0,3,16
399575,MB  Phase 1,DGS Sheetal Mayra,Under Construction,0,3,1
399608,MB  Phase 1,DAC Manapark,Under Construction,1,3,14
399694,MB  Phase 1,Vinayak Atlantis,Under Construction,2,3,43
399826,MB  Phase 1,Samanvay The Amelias,Under Construction,0,3,6
399887,MB  Phase 1,Ambrosia,Under Construction,0,3,10
400347,MB  Phase 1,Saradeuz Olympus,Under Construction,0,3,6
400423,MB  Phase 1,PS Vaanya,Under Construction,5,3,11
400435,MB  Phase 1,CRC Joyous,Under Construction,10,2,39
400436,MB  Phase 1,Ivory County,Under Construction,4,2,11
400481,MB  Phase 1,DAC Medallion,Under Construction,1,2,5
400534,MB  Phase 1,Amolik Aster Woods,Under Construction,0,2,4
400934,MB  Phase 1,Visions Arsha,Under Construction,2,2,9
401138,MB  Phase 1,Roswalt Zaiden,Under Construction,4,2,21
401530,MB  Phase 1,SNN Raj Bay Vista,Under Construction,1,2,35
401542,MB  Phase 1,Casagrand Aria,Under Construction,1,2,34
401645,MB  Phase 1,Riviera Majestica,Under Construction,1,2,34
401648,MB  Phase 1,Keya Spring,Under Construction,1,2,6
401796,MB  Phase 1,Bramhacorp August Towers,Under Construction,0,2,6
401902,MB  Phase 1,Bhagwati Elysia,Under Construction,0,2,2
