XID,Phase,Project Name,Project Status,Video Count,Review Count,Image Count
425712,MB  Phase 1,SKA Destiny One,,,(24 Total Reviews),
373410,MB  Phase 1,Apex Alphabet,,,,
373829,MB  Phase 1,Greenbay Golf Village,,,(3 Total Reviews),
4462,MB  Phase 1,ABA Cherry County,,,(11 Total Reviews),
6356,MB  Phase 1,Keltech Kumar Imperial Greens,,,(11 Total Reviews),
373245,MB  Phase 1,Express Astra,,,,
401978,MB  Phase 1,Twin Celestial,,,,
43270,MB  Phase 1,Skyline Speedway Avenue,,,(2 Total Reviews),
298653,MB  Phase 1,CRC Sublimis,,,(14 Total Reviews),
255783,MB  Phase 1,Shri Radha Aqua Gardens,,,(4 Total Reviews),
1030,MB  Phase 1,M3M Golf Estate,,,(50 Total Reviews),
1350,MB  Phase 1,Puri Diplomatic Greens,,,(8 Total Reviews),
2718,MB  Phase 1,DLF Regal Gardens,,,(21 Total Reviews),
5456,MB  Phase 1,Puri Emerald Bay,,,(19 Total Reviews),
6136,MB  Phase 1,DLF Skycourt,,,(25 Total Reviews),
25860,MB  Phase 1,ATS Triumph,,,(10 Total Reviews),
26134,MB  Phase 1,BPTP Amstoria,,,(9 Total Reviews),
136575,MB  Phase 1,Ashiana Anmol,,,,
146207,MB  Phase 1,Saan Verdante,,,,
269936,MB  Phase 1,Central Park Aqua Front Towers,,,,
318679,MB  Phase 1,Hero Homes,,,(19 Total Reviews),
333369,MB  Phase 1,Emaar Digi Homes,,,(33 Total Reviews),
378131,MB  Phase 1,M3M Soulitude,,,,
378934,MB  Phase 1,Signature Global City 37D,,,,
390137,MB  Phase 1,Tulip Monsella,,,,
391580,MB  Phase 1,DLF The Grove,,,,
399000,MB  Phase 1,ATS Bonheur Avenue,,,,
403842,MB  Phase 1,Adani Samsara Avasa,,,,
404068,MB  Phase 1,M3M Crown Phase 1,,,,
404456,MB  Phase 1,Signature Global City 93,,,,
404772,MB  Phase 1,Central Park The Orchard,,,,
405181,MB  Phase 1,M3M Golf Hills Phase 1,,,,
405529,MB  Phase 1,Navraj The Antalyas,,,,
419936,MB  Phase 1,Godrej Aristocrat,,,,
422426,MB  Phase 1,GODREJ ZENITH,,,,
422937,MB  Phase 1,Krisumi Waterside Residences,,,(1 Total Reviews),
423388,MB  Phase 1,Puri Diplomatic Residences,,,(1 Total Reviews),
423473,MB  Phase 1,Anant The Estate Residences,,,(1 Total Reviews),
424568,MB  Phase 1,JMS Premier Floors,,,(1 Total Reviews),
426520,MB  Phase 1,PARQ,,,(1 Total Reviews),
427056,MB  Phase 1,M3M Altitude,,,(1 Total Reviews),
427191,MB  Phase 1,Ganga Anantam,,,(1 Total Reviews),
427906,MB  Phase 1,Sobha Altus,,,(1 Total Reviews),
428412,MB  Phase 1,Signatureglobal Titanium SPR,,,(1 Total Reviews),
430191,MB  Phase 1,Adani Lushlands,,,(1 Total Reviews),
