XID,Project Name,City,Squareyards.com Link
r419491,SG European Village and Resorts,Nainital,https://www.squareyards.com/sale/villas-for-sale-in-ahmedabad
r316241,Indis VB City,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/indis-vb-city/10373/project
r401321,Sai Adityaraj,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/sai-adityaraj/211595/project
r8812,Meena Residency,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-simran-sapphire-navi-mumbai
r79442,DDA Millennium Apartment,North Delhi,https://www.squareyards.com/sale/shops-for-sale-in-north-delhi-delhi
r64312,Parsvnath Planet,Lucknow,https://www.squareyards.com/sale/resale-properties-in-parsvnath-planet-lucknow
r15430,Hiland Willows,Kolkata East,https://www.squareyards.com/projects-by-belani-group-in-kolkata
r438575,Shubhankar One,Udaipur,https://www.squareyards.com/new-launch-by-gangotree-homes-in-pune
r257525,Hubtown The Premiere Residences,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/hubtown-the-premiere/8399/project
r383015,Hiranandani Delanna,Thane,https://www.squareyards.com/thane-residential-property/hiranandani-tribeca/3013/project/floor-plans
r372631,GMADA Eco city 2,Chandigarh,https://www.squareyards.com/resale-200-sq-yd-plot-in-gmada-eco-city/7279923
r427471,DGS Sheetal Kiara,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/dgs-sheetal-kiara/247202/project
r457,DLF Gardencity,Indore,https://www.squareyards.com/sale/independent-houses-for-sale-in-manglia-indore
r389386,Tricity Montview,Navi Mumbai,https://www.squareyards.com/new-launch-by-tricity-realty-in-navi-mumbai
r32466,PNK Winstone,Mira Bhayandar,https://www.squareyards.com/sale/resale-properties-in-pnk-winstone-mumbai
r2546,Karle Zenith Residences,Bangalore North,https://www.squareyards.com/bangalore-residential-property/karle-zenith/7964/project
r412360,ANP Autograph,Pune West,https://www.squareyards.com/pune-residential-property/anp-autograph/226331/project
r397792,Bharathi Sowparnika,Mangalore,https://www.squareyards.com/sale/property-for-sale-near-chitrakoota-school-jnana-bharathi-in-bangalore
r239268,DNV Elvira,Pune West,https://www.squareyards.com/ready-to-move-projects-in-tathawade-pune
r310027,Shaligram Square,Ahmedabad North,https://www.squareyards.com/sale/resale-properties-in-sangani-shaligram-lakeview-ahmedabad
r18830,Sejal Suyash Pride,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/pramukh-pride/325421/project/floor-plans
r318275,Godrej Nurture,Noida,https://www.squareyards.com/noida-residential-property/godrej-nurture/10316/project
r1300,Jaypee Greens Garden Isles,Noida,https://www.squareyards.com/noida-residential-property/jaypee-greens-garden-isles/586/project
r20758,Nirupam Royal Palms,Bhopal,https://www.squareyards.com/sale/4-bhk-flat-in-nirupam-royal-palms-villas-bhopal
r374462,Shilp Ananta,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/shilp-ananta/244676/project
r28522,CGHS DPS Apartments,Dwarka Delhi,https://www.squareyards.com/sale/apartments-for-sale-in-sector-3-dwarka-delhi
r5382,Ace City,Greater Noida,https://www.squareyards.com/sale/resale-properties-in-ace-city-greater-noida
r19040,Space India Royal Meadows Residency,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/channel-residency-chs/50998/project/photos
r19014,Satellite Tower CHS,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/satellite-tower/25943/project
r381087,Prestige City Avalon Park,Bangalore East,https://www.squareyards.com/bangalore-residential-property/avalon-park-at-the-prestige-city/112745/project
r6188,Ashford Royale,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/ashford-royale/5887/project
r397089,Wave Eligo,Ghaziabad,https://www.squareyards.com/sale/3-bhk-flat-in-wave-city-ghaziabad
r389676,TARC Tripundra,South Delhi,https://www.squareyards.com/sale/resale-properties-in-tarc-tripundra-delhi
r48968,Sumadhura Silver Ripples,Bangalore East,https://www.squareyards.com/bangalore-residential-property/sumadhura-silver-ripples/8625/project
r139725,Omaxe Silver Birch,Chandigarh,https://www.squareyards.com/sale/resale-properties-in-omaxe-silver-birch-chandigarh
r427876,Sheth Promont,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hazara-chs/65758/project
r5564,Bramha Sky City,Pune East,https://www.squareyards.com/pune-residential-property/brahma-realty-skycity/2550/project
r23738,Bestech Park View Residences,Mohali,https://www.squareyards.com/sale/resale-properties-in-bestech-park-view-spa-next-gurgaon
r393086,Times 104,Ahmedabad West,https://www.squareyards.com/rent/office-spaces-for-rent-in-ahmedabad
r389429,Arkade Aspire,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/arkade-aspire/157597/project/floor-plans
r15252,Tulsi Aura,Navi Mumbai,https://www.squareyards.com/rent/property-for-rent-in-tulsi-aura-mumbai-navi-mumbai
r412508,Swati Premier,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/swati-trinity/246502/project
r423240,PRS Windy Woods,Trivandrum,Not Found
r266421,Dynamic Grandeur,Pune South,https://www.squareyards.com/sale/3-bhk-flat-in-dynamic-grandeur-pune
r424468,Mahindra Zen,Bangalore South,https://www.squareyards.com/resale-4-bhk-2363-sq-ft-apartment-in-mahindra-zen/6810013
r208215,Park view Apartments,Dwarka Delhi,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-study-room-2600-sq-ft-apartment-in-sector-12-dwarka/7696640
r268587,DLF City Plots Phase 2,Gurgaon,https://www.squareyards.com/sale/property-for-sale-in-dlf-phase-ii-gurgaon
r382835,Dotom Sapphire,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/dotom-isle/113728/project
r339561,Vario Homes,Bangalore North,https://www.squareyards.com/bangalore-residential-property/karle-vario-homes/30174/project
r412313,HPR Avani,Hyderabad,https://www.squareyards.com/resale-197-sq-yd-plot-in-hpr-avani-/5758032
r385039,Raheja Sterling,Pune South,https://www.squareyards.com/sale/resale-properties-in-k-raheja-sterling-pune
r391431,Arihant Aaradhya,Thane Outskirts,https://www.squareyards.com/thane-residential-property/arihant-anmol/105671/project
