XID,Project Name,City,Squareyards.com Link
r8858,Hubtown Seasons,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hubtown-rising-city-atlanta-heights/100796/project
r28922,Parsvnath Green Ville,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/parsvnath-green-ville/500/project
r328885,VTP Leonara,Pune West,https://www.squareyards.com/pune-residential-property/vtp-leonara-building-c-and-f/11255/project
r18914,Sai Sahawas CHS,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/camron-height/62007/project
r355142,GHR Titania,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/ghr-titania/100664/project
r33224,Scorpio by Jasani Realty,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/jasani-scorpio/6159/project
r7920,Atri Green Valley,Kolkata South,https://www.squareyards.com/kolkata-residential-property/atri-green-valley/7444/project
r59694,Sanhita Township Project,Kolkata East,https://www.squareyards.com/bangalore-residential-property/regency-east-end-apartments/94341/project
r9254,Forest County,Pune East,https://www.squareyards.com/pune-residential-property/vascon-forest-county/7347/project
r430106,Neelkanth Darshan Kharghar,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/neelkanth-darshan-kharghar/249399/project
r423720,Dhanlaxmi Dhananjay Hill View,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/avaas-shree-krushna-arcade/143303/project
r327383,Sonam Indradhanush,Mira Bhayandar,https://www.squareyards.com/thane-residential-property/sonam-indradhanush/30464/project
r125,Sureka Sunrise Symphony,Kolkata East,https://www.squareyards.com/kolkata-residential-property/sureka-sunrise-aura/192544/project
r418176,Matrubhumi The Grand Residences,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/mighty-siddhi-darshan/324370/project
r79340,Vaswani Exquisite,Bangalore East,https://www.squareyards.com/bangalore-residential-property/vaswani-exquisite/8744/project
r269667,Myhna Maple,Bangalore East,https://www.squareyards.com/bangalore-residential-property/myhna-maple/18086/project
r367455,Prestige Primrose Hills,Bangalore South,https://www.squareyards.com/bangalore-residential-property/prestige-primrose-hills/94906/project
r401173,Asteria by Courtyard,Thane,https://www.squareyards.com/thane-residential-property/courtyard-by-narang-realty-and-the-wadhwa-group/8337/project
r433348,Shree Sankalp Siddh Vivant,Rajkot,https://www.squareyards.com/mumbai-residential-property/sankalp-siddhi-chs-byculla/119047/project
r369262,Oriental Viola,Ahmedabad West,https://www.squareyards.com/pune-residential-property/nanded-city-sarang/2139/project
r1011,Kohinoor Shangrila,Pune North,https://www.squareyards.com/pune-residential-property/kohinoor-shangrila/23393/project
r65412,TDI City,Mohali,https://www.squareyards.com/chandigarh-residential-property/tdi-city/109014/project
r398453,BM Satyam Solaris,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/bm-satyam-solaris/192062/project
r428647,Maha Srri Maruthi Vip Nagar,Coimbatore,https://www.squareyards.com/hyderabad-residential-property/aduri-dream-valley/249073/project
r320989,Dynamix Divum,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/dynamix-divum/11151/project
r847,CHD Avenue 71,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/chd-avenue-71/201/project
r378339,Safal Orchid Valley,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/goyal-orchid-valley/228559/project
r62341,Amanora Future Towers,Pune East,https://www.squareyards.com/pune-residential-property/amanora-neo-towers/24406/project
r379597,Agarwal Floresta,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/agarwal-floresta-oak/142426/project
r1170,Lodha Fiorenza,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/lodha-fiorenza/2824/project
r184665,Navami Funique,Bangalore South,https://www.squareyards.com/bangalore-residential-property/navami-funique/95472/project
r107423,Abhishree Orchard,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/kavisha-the-portrait/246051/project
r24198,Total Environment Pursuit of A Radical Rhapsody,Bangalore East,https://www.squareyards.com/bangalore-residential-property/total-environment-pursuit-of-a-radical-rhapsody/19480/project
r7734,ATS Tourmaline,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/ats-tourmaline/236/project
r329747,Shiv Empire,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/ichhapurti-prathmesh-park/324240/project
r227,Kumar Megapolis,Pune West,https://www.squareyards.com/pune-residential-property/megapolis-serenity/30270/project
r352969,Shriram Chirping Grove,Bangalore East,https://www.squareyards.com/bangalore-residential-property/shriram-chirping-grove/100662/project
r1229,DLF Alameda,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/dlf-alameda/21194/project
r413092,Dynamix Luma,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/dynamix-luma/242452/project
r385586,Prestige Green Gables,Bangalore East,https://www.squareyards.com/bangalore-residential-property/prestige-green-gables/110353/project
r413362,Maithili The Trellis,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/maithili-the-trellis/223846/project
r432454,Orion Park,Indore,https://www.squareyards.com/mumbai-residential-property/the-orion-business-park/103816/project
r412464,Metro Saraswati Paradise,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/metro-saraswati-paradise/226444/project
r277439,GK Rose Mansion,Pune West,https://www.squareyards.com/pune-residential-property/gk-rose-mansion/10270/project
r383944,Green View,Ahmedabad North,https://www.squareyards.com/bangalore-residential-property/mr-green-view/143841/project
r266965,Hiranandani Castle Rock,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-castle-rock/8603/project
r11738,JM Florence,Greater Noida,https://www.squareyards.com/greater-noida-residential-property/jm-florence/848/project
r401622,Skytech Neelkanth Avenue,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/skytech-neelkanth-darshan/158044/project
r340371,Kohinoor Sapphire,Pune West,https://www.squareyards.com/pune-residential-property/kohinoor-sapphire-2/101994/project
r380168,Raheja Solaris,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/raheja-solaris/112762/project
r1147,Ireo Skyon,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/ireo-skyon/64/project
r477,Kalpataru Aura,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/kalpataru-aura/2871/project
r8548,Vinay Unique Gardens,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/vinay-unique-gardens/6939/project
r28138,CIDCO Millennium Towers,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/cidco-millennium-tower/103163/project
r296601,Lodha Bel Air,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/lodha-bel-air/10590/project
r406103,Kasturi Balmoral Towers,Pune West,https://www.squareyards.com/pune-residential-property/kasturi-the-balmoral-towers/188765/project
r241703,Rutu City Richmond,Thane,https://www.squareyards.com/thane-residential-property/rutu-city/43355/project
r637,Puraniks Aldea,Pune West,https://www.squareyards.com/pune-residential-property/puraniks-aldea-espanola-phase-2/100075/project
r426836,VCC Viara,Pune West,https://www.squareyards.com/pune-residential-property/vcc-viara/247927/project
r436210,Trogon Centre Court,Ahmedabad North,https://www.squareyards.com/ahmedabad-residential-property/trogon-twin-towers/249006/project
r299805,The 102,Kolkata South,https://www.squareyards.com/kolkata-residential-property/ps-the-102/9853/project
r274375,Dilkap Grandeur,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/d-kapoor-dilkap-grandeur/101614/project
r414755,SVS Silver Oaks,Bangalore South,https://www.squareyards.com/bangalore-residential-property/svs-silver-oaks/240592/project
r331001,Prestige North Point,Bangalore North,https://www.squareyards.com/bangalore-residential-property/prestige-north-point/14739/project
r137953,Satyam Springs,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/satyam-springs/102674/project
r385933,Shree Krupa Yash Heights,Thane Outskirts,https://www.squareyards.com/mumbai-residential-property/shree-krupa-chs-borivali/136431/project
r596,Sherwood Estate,Kolkata South,https://www.squareyards.com/kolkata-residential-property/unimark-sherwood-estate/4966/project
r272177,SB Blu Pearl,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/bachraj-residency/5910/project
r14776,Kumar Sanctum,Pune West,https://www.squareyards.com/pune-residential-property/kumar-privie-sanctum/2046/project
r46570,Gurukrupa Marina Enclave,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/gurukrupa-marina-enclave/26060/project
