XID number,Project Name,City,Region,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,NA,NA
426520,Conscient Parq,Delhi NCR,Delhi NCR,https://www.conscient.in/parq.php,NA,https://www.magicbricks.com/parq-sector-80-gurgaon-pdpid-4d4235343230373839,NA,NA,NA,https://housing.com/in/buy/projects/page/320891-conscient-parq-by-conscient-infrastructure-in-sector-80,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/conscient-parq/247842/project,NA,NA,NA,NA,NA,NA
62235,Mahindra Luminare,Delhi NCR,Delhi NCR,https://www.mahindralifespaces.com/real-estate-properties/gurgaon-property/luminare-golf-course-extension-road/?utm_source=gmb&utm_medium=maps&utm_campaign=gmb_listing,NA,https://www.magicbricks.com/mahindra-luminare-sector-59-gurgaon-pdpid-4d4235303732303636,NA,NA,NA,https://housing.com/in/buy/projects/page/33499-mahindra-luminare-by-mahindra-lifespaces-in-sector-59,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/mahindra-luminare/987/project,NA,NA,NA,NA,NA,NA
404068,M3M Crown,Delhi NCR,Delhi NCR,https://m3mindia.com/residential/m3m-crown,NA,https://www.magicbricks.com/m3m-crown-phase-1-sector-111-gurgaon-pdpid-4d4235333933333337,NA,NA,NA,https://housing.com/in/buy/projects/page/288734-m3m-crown-by-m3m-india-pvt-ltd-in-sector-111,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-crown/214724/project,NA,NA,NA,NA,NA,NA
404456,Signature Global City 93,Delhi NCR,Delhi NCR,https://www.signatureglobal.in/sg-city-93.php,NA,https://www.magicbricks.com/signature-global-city-93-sector-93-gurgaon-pdpid-4d4235333933373231,NA,NA,NA,https://housing.com/in/buy/projects/page/294013-signature-global-city-93-by-signature-global-builders-pvt-ltd-in-sector-93,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/signature-global-city-93/216130/project,NA,NA,NA,NA,NA,NA
424568,JMS Premier Floors,Delhi NCR,Delhi NCR,https://jmsgroup.co.in/,https://jmspremierfloors.co.in/,https://www.magicbricks.com/jms-premier-floors-sector-95-gurgaon-pdpid-4d4235343233363135,NA,NA,NA,https://housing.com/in/buy/projects/page/327241-jms-premier-floors-by-jms-buildtech-pvt-ltd-in-sector-95,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/jms-premier-floors/306414/project,NA,NA,NA,NA,NA,NA
327273,County 107,Delhi NCR,Delhi NCR,https://www.countygroup.in/county107/mobile/,NA,https://www.magicbricks.com/county-107-sector-107-noida-pdpid-4d4235313234373439,NA,NA,NA,https://housing.com/in/buy/projects/page/198060-county-107-by-county-group-in-sector-107,NA,NA,NA,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project,NA,NA,NA,NA,NA,NA
376088,Smart World Orchard,Delhi NCR,Delhi NCR,https://smartworlddevelopers.com/project/orchard/,NA,https://www.magicbricks.com/smartworld-orchard-sector-61-gurgaon-pdpid-4d4235333234323439,NA,NA,NA,https://housing.com/in/buy/projects/page/255340-smartworld-orchard-by-smartworld-developers-in-sector-61,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/smart-world-orchard/103238/project,NA,NA,NA,NA,NA,NA
434608,Eldeco Fairway Reserve,Delhi NCR,Delhi NCR,https://www.eldecogroup.com/projects/residential/ncr-delhi/gurgaon/ongoing/eldeco-fairway-reserve/overview,NA,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137,NA,NA,NA,https://housing.com/in/buy/projects/page/332463-eldeco-fairway-reserve-by-eldeco-infrastructure-properties-limited-in-sector-80,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/eldeco-fairway-reserve/324073/project,NA,NA,NA,NA,NA,NA
352,BPTP Parklands,Faridabad,Delhi NCR,https://www.bptpfaridabad.in/,NA,https://www.magicbricks.com/bptp-parkland-sector-76-faridabad-pdpid-4d4235303832383439,NA,NA,NA,https://housing.com/in/buy/projects/page/124753-bptp-parklands-plots-by-bptp-limited-in-sector-85,NA,NA,NA,https://www.squareyards.com/faridabad-residential-property/bptp-parkland-pride/452/project,NA,NA,NA,NA,NA,NA
420301,Tarc Kailasa,West Delhi,Delhi NCR,https://www.tarc.in/tarc-kailasa/,NA,https://www.magicbricks.com/tarc-kailasa-kirti-nagar-new-delhi-pdpid-4d4235343138333139,NA,NA,NA,https://housing.com/in/buy/projects/page/312933-tarc-kailasaa-by-tarc-limited-in-kirti-nagar,NA,NA,NA,https://www.squareyards.com/delhi-residential-property/tarc-kailasa/240026/project,NA,NA,NA,NA,NA,NA
