xid,name ,city,phase,url_squareyard
375918,Aparna Sarovar Zicon,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/aparna-sarovar-zicon/103915/project
376104,Modi Serene Park,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/modi-serene-park/113601/project
376145,Shriram The Poem,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/shriram-the-poem/231351/project
376373,Vertex Viraat,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/vertex-viraat/212676/project
376632,Dreamland Harnarain Aeropolis,ROI,Single phase,https://www.squareyards.com/varanasi-residential-property/dreamland-harnarain-aeropolis/248110/project
376683,Solaris Plus,ROI,Single phase,https://www.squareyards.com/vadodara-residential-property/solaris-plus/318469/project
376821,ATS Kingston Heath,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-kingston-heath/103548/project
377050,Benchmark Aspire,Kolkata,Single phase,https://www.squareyards.com/kolkata-residential-property/benchmark-aspire/192259/project
377188,The Celest,ROI,Single phase,https://www.squareyards.com/vizag-residential-property/terra-alpha-the-celest/9993/project
377702,Sobha Manhattan Towers Town Park,Bangalore South,Single phase,https://www.squareyards.com/bangalore-residential-property/sobha-manhattan-towers-town-park/105219/project
377935,Kala Sagar Skies,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/kalasagar-skyz/5789/project
378115,Hallmark Skyrena,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/hallmark-skyrena/111070/project
378409,Ace Starlit,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ace-starlit/105330/project
378411,Ecolife Eon Akash,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/ecolife-eon-akash/113115/project
378617,Suchirindia The Tales of Greek,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/suchirindia-the-tales-of-greek/109005/project
378890,Green Field Diamond Avenue,ROI,Single phase,https://www.squareyards.com/coimbatore-residential-property/green-field-diamond-avenue-peedampalli/317432/project
378931,L and T Veridian at Emerald Isle,Central Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/lnt-veridian/108804/project
379234,Sri Vathsas Sterling Abode,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/sri-vathsa-sterling-abode/143703/project
379240,Provident Sunworth City,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/provident-sunworth/1606/project
379347,ARV Uthville,Pune East,Single phase,https://www.squareyards.com/pune-residential-property/arv-uthville/113345/project
379399,Sattva Ashraya,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-ashraya/112609/project
379586,Excellaa Tremont,Pune East,Single phase,https://www.squareyards.com/pune-residential-property/excellaa-tremont/107456/project
379597,Agarwal Floresta,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/agarwal-floresta-maple/111251/project
379727,Gothic Pentagon Clouds,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/gothic-pentagon-clouds/111125/project
379760,Hallmark Treasor,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/hallmark-treasor/111746/project
379918,Nimbus Express Park View 2 Low Rise,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/nimbus-express-park-view-ii/1187/project
379927,Prescon Midtown Bay,Mumbai South,Single phase,https://www.squareyards.com/mumbai-residential-property/prescon-midtown-bay/111905/project
380395,Vision Aristo,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/vision-aristo/112706/project
380808,Swati Senor,Ahmedabad West,Single phase,https://www.squareyards.com/ahmedabad-residential-property/swati-senor/249370/project
380922,Silpas Kalpavriksha,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/golden-kalpavriksha/113760/project
381481,Platinum 53 West,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/platinum-53-west/113172/project
381615,Kunal The Canary,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/kunal-the-canary/129289/project
381755,GK Aarcon,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/gk-aarcon/146925/project
381799,DRA D Elite,Chennai South,Single phase,https://www.squareyards.com/chennai-residential-property/dra-d-elite/189819/project
382046,ATS Homekraft Pious Orchards,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-orchards/112460/project
382172,Sukhwani Kingsley,Pune North,Single phase,https://www.squareyards.com/pune-residential-property/sukhwani-kingsley/122732/project
382236,Merlin Rise,Kolkata,Single phase,https://www.squareyards.com/kolkata-residential-property/merlin-rise/115420/project
382262,Suraj Vitalis,Mumbai South,Single phase,https://www.squareyards.com/mumbai-residential-property/suraj-vitalis/146938/project
382710,VTP Verve,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/vtp-verve/118473/project
382816,Srijan Botanica,Kolkata South,Single phase,https://www.squareyards.com/kolkata-residential-property/srijan-botanica/47978/project
382996,Regents Park Kharghar,Mumbai(All),Single phase,https://www.squareyards.com/navi-mumbai-residential-property/satyam-regents-park/113934/project
383398,Praneeth Kkrs Pranav Jaitra,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/praneeth-pranav-jaitra/112983/project
383662,Primark Eco Nest,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/primark-eco-nest/114071/project
383708,Aparna Zenon,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/aparna-zenon/128842/project
383882,Rustomjee Uptown Urbania,Thane,Single phase,https://www.squareyards.com/thane-residential-property/rustomjee-uptown-urbania/121648/project
383939,Concorde Opus 2,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/concorde-opus-2/112862/project
383945,Eden Willow Estate,Kolkata,Single phase,https://www.squareyards.com/kolkata-residential-property/eden-willow-estate/175210/project
384098,Roseate Homes,ROI,Single phase,https://www.squareyards.com/zirakpur-residential-property/roseate-homes/111631/project
384290,Godrej Park Retreat,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/godrej-park-retreat/115887/project
384755,Ace Abode,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/jhamtani-ace-abode/141376/project
384964,Sheth Vasant Blossom,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/sheth-vasant-blossom/149429/project
385000,Assetz Marq 3,Bangalore East,Single phase,https://www.squareyards.com/bangalore-residential-property/assetz-marq/19859/project
385178,Nambiar Millennia,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/nambiar-millennia/130220/project
385349,Meridian Park at The Prestige City,Bangalore East,Single phase,https://www.squareyards.com/bangalore-residential-property/meridian-park-at-the-prestige-city/142272/project
385408,Nyati Era,Pune,Single phase,https://www.squareyards.com/pune-residential-property/nyati-era/146906/project
386131,Venkatesh Erandwane Central,Pune,Single phase,https://www.squareyards.com/pune-residential-property/venkatesh-erandwane-central/158009/project
386719,DLH Legacy,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/dlh-legacy/150244/project
386756,Mantra Mirari,Pune,Single phase,https://www.squareyards.com/pune-residential-property/mantra-mirari/123236/project
386817,Shevi Utopia Gold,Pune,Single phase,https://www.squareyards.com/pune-residential-property/shevi-utopia-gold/149787/project
386987,DS Max Sukruth,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/ds-max-sukruth/129926/project
386991,Heavie Eden,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/heavie-eden/122694/project
386994,Sumadhura Aspire Amber,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/sumadhura-aspire-amber/123784/project
386997,Land Capital Calista,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/land-capital-calista/220754/project
387255,L and T Elixir Reserve,Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/lnt-elixir-reserve/141429/project
387280,Supercity JOY,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/supercity-joy/222439/project
387488,Radhey Raaga,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/radhey-raaga/129796/project
387813,Lodha Bellagio,Central Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/lodha-bellagio/141362/project
388006,Paradise Sai Suncity,Navi Mumbai,Single phase,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-suncity/167325/project
388125,Safal Riviera Aspire,Ahmedabad West,Single phase,https://www.squareyards.com/ahmedabad-residential-property/goyal-riviera-aspire/228546/project
388179,VTP Bellissimo,Pune,Single phase,https://www.squareyards.com/pune-residential-property/vtp-bellissimo/153577/project
388209,Sharanya Altura,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/sharanya-altura/228301/project
388275,Aishwaryam Insignia,Pune,Single phase,https://www.squareyards.com/pune-residential-property/aishwaryam-insignia/152338/project
388670,Kalyans Skyway 9,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/kalyan-skyway-9/177303/project
389184,Eminence 96,Ahmedabad West,Single phase,https://www.squareyards.com/ahmedabad-residential-property/arista-eminence-96/247565/project
389216,Sureka Sunrise Aura,Kolkata,Single phase,https://www.squareyards.com/kolkata-residential-property/sureka-sunrise-aura/192544/project
389272,Casagrand Aquene,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/casagrand-aquene/147200/project
389421,Pride Panorama,Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/pride-panorama-mumbai/189130/project
390295,Paradigm Anantaara,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/paradigm-anantaara/242331/project
390851,Raghav Paradise,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/raghav-paradise/158101/project
391272,Sukra Majesticka Grande,ROI,Single phase,https://www.squareyards.com/coimbatore-residential-property/sukra-majesticka-grande/316725/project
391738,Sattva Aeropolis,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-aeropolis/151032/project
391740,Sattva Aqua Vista,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/salarpuria-aqua-vista/100647/project
391741,TVS Emerald Jardin,Bangalore South,Single phase,https://www.squareyards.com/bangalore-residential-property/tvs-emerald-jardin/152261/project
391947,Ananyas AA Garden,ROI,Single phase,https://www.squareyards.com/coimbatore-residential-property/ananyas-garden-at-vadavalli/316735/project
391991,Theme Imperial,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/theme-imperial/182464/project
392369,DSR Highland Greenz,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/dsr-highland-greenz/113071/project
393021,Gemini Aster,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/arboretum-gemini-aster/250570/project
393052,DSR Skymarq,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/dsr-sky-marq/218582/project
393562,Polaris Casarica,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/polaris-casarica/247253/project
393708,The Islands by Gaurs,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/gaurs-the-islands/159282/project
393900,EKA Elitas,Pune,Single phase,https://www.squareyards.com/pune-residential-property/eka-elitas/216819/project
394019,Mohan Precious Greens,Thane Outskirts,Single phase,https://www.squareyards.com/thane-residential-property/mohan-precious-greens/159199/project
394292,Ashwamedh Ratnaprabha,Pune,Single phase,https://www.squareyards.com/pune-residential-property/ashwamedh-ratnaprabha/212392/project
394631,Altezza by The Palm,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/the-palm-altezza/250608/project
394748,Adish Aradhra,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/adish-aradhra/213337/project
394877,My Home Wakad,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/goyal-my-homes-wakad/180487/project
394878,Aaiji Crystal,Pune East,Single phase,https://www.squareyards.com/pune-residential-property/aaiji-crystal/184799/project
394931,Raj High Gardens,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/snn-raj-high-gardens/134095/project
395174,Promax Dreamville Home,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/promax-dreamville-home/189019/project
395251,Vishwanath Sarathya West,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/vishwanath-sarathya-west/246510/project
395412,Ashiana Malhar,Pune,Single phase,https://www.squareyards.com/pune-residential-property/ashiana-malhar/166799/project
395606,Maple Sky Residences at Navins Starwood,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/navins-starwood-towers/250803/project
395609,Ambuja Urvisha The Condoville,Kolkata East,Single phase,https://www.squareyards.com/kolkata-residential-property/ambuja-urvisha-the-condoville/137220/project
395716,Fusion The Brook,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/fusion-the-brook/162900/project
395806,DAC Prathyangira,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/dac-prathyangira/224885/project
396053,Vivaan Ixora,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/vivaan-ixora/229679/project
396174,Dharti Skyline,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/dharti-skyline/228966/project
396695,JRC Wild Woods,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/jrc-wild-woods/179874/project
396698,Mars Planet,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/mars-the-planet/188072/project
396796,Pristine iLife,Pune East,Single phase,https://www.squareyards.com/pune-residential-property/pristine-ilife/190363/project
396799,Keya Around The Life,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/keya-around-the-life/188759/project
396805,Prestige Glenbrook,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/prestige-glenbrook/234743/project
396925,Majestique The Ornate,Pune West,Single phase,https://www.squareyards.com/pune-residential-property/majestique-the-ornate/170725/project
396980,Atri Rays,Kolkata,Single phase,https://www.squareyards.com/kolkata-residential-property/atri-rays/247319/project
397113,Sanctorum,Kolkata North,Single phase,https://www.squareyards.com/kolkata-residential-property/eden-the-sanctorum/192002/project
397582,Om Sree Gallaxy,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/om-sree-gallaxy/180582/project
397709,Godrej Woodsville,Pune,Single phase,https://www.squareyards.com/pune-residential-property/godrej-woodsville/176225/project
397833,Brigade Horizon,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/brigade-horizon/175481/project
397983,Pavani Mirabilia,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/pavani-mirabilia/180232/project
398191,Godrej Green Estate,ROI,Single phase,https://www.squareyards.com/sonipat-residential-property/godrej-green-estate/214503/project
398215,EIPL Corner Stone,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/eipl-corner-stone/188610/project
398444,Radiance Flourish,Chennai North,Single phase,https://www.squareyards.com/chennai-residential-property/radiance-flourish/189253/project
398586,Ceratec Presidential Towers,Pune,Single phase,https://www.squareyards.com/pune-residential-property/ceratec-presidential-towers/180236/project
398743,Nahar Grandeur,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/nahar-grandeur/307430/project
398757,Trendsquares Ortus 3,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/trendsquare-ortus-apartment/106644/project
398803,Swati Symphony,Ahmedabad West,Single phase,https://www.squareyards.com/ahmedabad-residential-property/swati-symphony/229764/project
399073,SBR Minara,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/sbr-minara/204785/project
399106,Arihant One,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/arihant-one/213558/project
399112,Radiance Majestic,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/radiance-majestic/189946/project
399334,Chheda Avighna,Mira Bhayandar,Single phase,https://www.squareyards.com/thane-residential-property/chheda-avighna/188829/project
399575,DGS Sheetal Mayra,Beyond Mira Road,Single phase,https://www.squareyards.com/palghar-residential-property/dgs-sheetal-mayra/188853/project
399608,DAC Manapark,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/dac-manapark/231804/project
399694,Vinayak Atlantis,Kolkata East,Single phase,https://www.squareyards.com/kolkata-residential-property/vinayak-atlantis/223237/project
399826,Samanvay The Amelias,ROI,Single phase,https://www.squareyards.com/resale-2-bhk-954-sq-ft-apartment-in-samanvay-the-amelias/7376984
399887,Ambrosia by Adani Realty,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/adani-ambrosia/229506/project
400347,Saradeuz Olympus,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/saradeuz-olympus/323921/project
