District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No,Tehsil,Street/ Locality,Open Area (In sq. meters),Total Area Of Project (In sq. meters),Sanctioned Number Of Apartments / Plots
Jaipur,Ashiana Nitara Phase 1 and 1A,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2023-9530,RAJ/P/2023/2841 (05/12/2023),Jaipur,"Lalkothi, Tonk Road",10493.58,32693.75,0
Jaipur,Dev Ratan,GROUP HOUSING,SUMITRA DEVELOPERS,RAJ-RERA-APP-P-2023-9536,RAJ/P/2023/2836 (01/12/2023),Sikar,"Ganpati Vihar, Dhod Road",568.08,1134.05,0
Jaipur,S B HIGHT II,GROUP HOUSING,SHREE BALAJI DEVELOPERS,RAJ-RERA-APP-P-2023-8949,RAJ/P/2023/2742 (06/10/2023),Jaipur,Vinayak Vihar – A,664.37,1499.37,0
Jaipur,Parth Prime B,GROUP HOUSING,Parth Sarthi Builders And Developers,RAJ-RERA-APP-P-2023-9427,RAJ/P/2023/2730 (06/10/2023),Jaipur,"Officers Enclave, Kalwar Road, Jhotwara",592.43,1344.15,0
Jaipur,ROYAL CRYSTA,GROUP HOUSING,VINAYAK BUILDERSAND DEVELOPERS,RAJ-RERA-APP-P-2023-8987,RAJ/P/2023/2719 (22/09/2023),Jaipur,"VINAYAKPURA A, GOKULPURA, KALWAR ROAD",1443.88,2400.00,0
Jaipur,ROYAL CRYSTA,GROUP HOUSING,VINAYAK BUILDERSAND DEVELOPERS,RAJ-RERA-APP-P-2023-8987,RAJ/P/2023/2719 (22/09/2023),Jaipur,"VINAYAKPURA A, GOKULPURA, KALWAR ROAD",1443.88,2400.00,0
Alwar,ASHIANA TARANG PHASE-V,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2023-9001,RAJ/P/2023/2700 (15/09/2023),Jaipur,"Lalkothi, Tonk Road",7975.95,52005.14,0
Jaipur,LOVE HOME JOYPUR,GROUP HOUSING,ACL INFRATECH PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8918,RAJ/P/2023/2668 (25/08/2023),Jaipur,"Ria Avenue F-3, Subhash Marg, C-Scheme",7600.29,11965.00,0
Jaipur,Parth Prime A,GROUP HOUSING,Shiv Real Estate,RAJ-RERA-APP-P-2023-8503,RAJ/P/2023/2650 (07/08/2023),Jaipur,"Vinayak Enclave, Gokulpura, kalwar Road, Jhotwara",457.33,1451.66,0
Jaipur,Parth Palace A,GROUP HOUSING,G R Homes,RAJ-RERA-APP-P-2023-8502,RAJ/P/2023/2636 (27/07/2023),Jaipur,"Mall of Jaipur, Kuber Complex, Vaishali Nagar",573.72,1489.60,0
Kota,PARSHAVNATH CITY BLOCK-A,PLOTTED,PRANATI BUILDCON,RAJ-RERA-APP-P-2023-8257,RAJ/P/2023/2606 (10/07/2023),Ladpura,CANAL ROAD,3745.72,8400.00,0
Jaipur,SPACE VILLAS,GROUP HOUSING,One Realty Group,RAJ-RERA-APP-P-2023-8249,RAJ/P/2023/2600 (03/07/2023),Jaipur,Vaishali Nagar,2514.68,6580.00,0
Udaipur,MAHADEV TOWER,GROUP HOUSING,SHUBH CONSTRUCTIONS,RAJ-RERA-APP-P-2023-7658,RAJ/P/2023/2582 (14/06/2023),Girwa,C BLOCK,684.71,1400.81,0
Jaipur,KEDIA'S UMANG,GROUP HOUSING,BADRINATH INFRAPROJECTS PVT LTD,RAJ-RERA-APP-P-2023-8147,RAJ/P/2023/2571 (09/06/2023),Jaipur,"JHOTWARA, JAIPUR",9900.83,19421.00,16
Jaipur,KEDIA'S UMANG,GROUP HOUSING,BADRINATH INFRAPROJECTS PVT LTD,RAJ-RERA-APP-P-2023-8147,RAJ/P/2023/2571 (09/06/2023),Jaipur,"JHOTWARA, JAIPUR",9900.83,19421.00,16
Jaipur,SHUBHASHISH PRAKASH Phase-I,GROUP HOUSING,Shubhashish Homes Realty LLP,RAJ-RERA-APP-P-2023-8023,RAJ/P/2023/2544 (16/05/2023),Jaipur,"Queens Road, Vaishali Nagar, Jaipur",5413.70,8843.96,0
Jaipur,SHUBHASHISH PRAKASH Phase-I,GROUP HOUSING,Shubhashish Homes Realty LLP,RAJ-RERA-APP-P-2023-8023,RAJ/P/2023/2544 (16/05/2023),Jaipur,"Queens Road, Vaishali Nagar, Jaipur",5413.70,8843.96,0
Jaipur,THE SKY BUNGALOWS,GROUP HOUSING,ORG PROJECTS LLP,RAJ-RERA-APP-P-2023-7651,RAJ/P/2023/2512 (19/04/2023),Jaipur,"KALYAN TOWER, 3 RD FLOOR, OPP RAJUL AUGUSTA NEAR NURSERY CIRCLE VAISHALI NAGAR JAIPUR, RAJASTHAN",3332.42,5275.00,-81
Jaipur,NATURE HOMES' AMALTAS,GROUP HOUSING,NATURE HOMES BUILDERS AND DEVELOPERS LLP,RAJ-RERA-APP-P-2023-7278,RAJ/P/2023/2466 (30/03/2023),Jaipur,Lal Kothi,1601.38,2539.81,-71
Jaipur,“Galaxy Enclave” “The Urban Village Splendor”,PLOTTED,Galaxy Buildmart Private Limited,RAJ-RERA-APP-P-2023-7056,RAJ/P/2023/2426 (08/03/2023),Jaipur,"Pradhan Marg, Malviya Nagar",31544.25,347507.78,8
Jaipur,“Galaxy Enclave” “The Urban Village Extension”,PLOTTED,GALAXY REALMART PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7057,RAJ/P/2023/2419 (04/03/2023),Jaipur,"GEM ENCLAVE, PRADAHAN MARG",13914.79,347507.78,0
Jaipur,“Galaxy Enclave” “The Urban Village Extension”,PLOTTED,GALAXY REALMART PRIVATE LIMITED,RAJ-RERA-APP-P-2023-7057,RAJ/P/2023/2419 (04/03/2023),Jaipur,"GEM ENCLAVE, PRADAHAN MARG",13914.79,347507.78,0
Jaipur,IMPERIAL VILLE,GROUP HOUSING,HI TECH DEVELOPERS,RAJ-RERA-APP-P-2022-6780,RAJ/P/2022/2306 (26/12/2022),Jaipur,VIDHYADHAR NAGAR,0.00,4183.00,12
Jaipur,CASATO,GROUP HOUSING,ADHARSHILA BUILDESTATE LLP,RAJ-RERA-APP-P-2022-6344,RAJ/P/2022/2254 (26/11/2022),Jaipur,"Ramnagariya Road, Jagatpura,",833.25,1834.53,0
Jaipur,CASATO,GROUP HOUSING,ADHARSHILA BUILDESTATE LLP,RAJ-RERA-APP-P-2022-6344,RAJ/P/2022/2254 (26/11/2022),Jaipur,"Ramnagariya Road, Jagatpura,",833.25,1834.53,0
Jaipur,CASATO,GROUP HOUSING,ADHARSHILA BUILDESTATE LLP,RAJ-RERA-APP-P-2022-6344,RAJ/P/2022/2254 (26/11/2022),Jaipur,"Ramnagariya Road, Jagatpura,",833.25,1834.53,0
Jaipur,THE AMELIAS,GROUP HOUSING,SAMANVAY BUILDTECH PRIVATE LIMITED,RAJ-RERA-APP-P-2022-6067,RAJ/P/2022/2225 (23/10/2022),Jaipur,"Queen Road, Vaishali Nagar",7703.51,10660.00,-24
Jaipur,Ashiana Umang Phase VI,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2022-6036,RAJ/P/2022/2212 (20/10/2022),Jaipur,"Lalkothi, Tonk Road",6073.00,79144.22,0
Jaipur,GEETA Phase-IV,GROUP HOUSING,Shubhashish Builders and Developers,RAJ-RERA-APP-P-2022-6079,RAJ/P/2022/2208 (20/10/2022),Jaipur,"Queens Road, Vaishali Nagar",4052.31,38116.51,0
Kota,GREEN COURTYARDS,PLOTTED,UNITED BUILDERS,RAJ-RERA-APP-P-2022-6057,RAJ/P/2022/2206 (19/10/2022),Ladpura,"Lajpat Rai Market, Lajpat Nagar, Baran Road, Borkheda",2912.40,7600.00,6
Jaipur,Empire Estate,GROUP HOUSING,EMPIRE ESTATE REALTY,RAJ-RERA-APP-P-2022-5635,RAJ/P/2022/2147 (21/09/2022),Jaipur,"S-21, Shyam Nagar",9202.49,13889.92,-3
Kota,BENCHMARK EXTENSION,PLOTTED,HADOTI PUNJI VIKAS LIMITED,RAJ-RERA-APP-P-2022-5344,RAJ/P/2022/2130 (04/09/2022),Ladpura,"Multimetals Ltd. Campus, Large Scale Industrial Area, Kansua Road",18302.40,50100.00,0
Kota,PARSHAVNATH CITY BLOCK-B,PLOTTED,PRANATI BUILDCON,RAJ-RERA-APP-P-2022-5295,RAJ/P/2022/2099 (13/08/2022),Ladpura,CANAL ROAD,8229.00,19900.00,16
Alwar,Ashiana Tarang Phase IV B,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2022-5132,RAJ/P/2022/2028 (23/06/2022),Jaipur,"Lalkothi, Tonk Road",4145.16,52005.14,0
Jaipur,Siddha Happyville Phase-II,GROUP HOUSING,SIDDHA INFRA PROJECTS PRIVATE LIMITED,RAJ-RERA-APP-P-2022-4725,RAJ/P/2022/2024 (22/06/2022),Jaipur,VAISHALI NAGAR,4296.62,51922.30,0
Jaipur,UTTAM HEIGHTS,GROUP HOUSING,UTTAM GLOBAL INFRA,RAJ-RERA-APP-P-2022-5085,RAJ/P/2022/2021 (22/06/2022),Jaipur,"OFFICERS CAMPUS, SIRSI ROAD",1965.00,2663.12,0
Jaipur,"Mahima's Sansaar Phase - II ""Spring Villa - II""",GROUP HOUSING,MAHIMA REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2022-4636,RAJ/P/2022/2000 (04/06/2022),Jaipur,"22 Godam Circle, Sardar Patel Marg",3335.44,86533.75,0
Jaipur,KARDHANI HEIGHTS,Mixed (Residential And Commercial),M/s Shree Paramhans Enterprises and Builders,RAJ-RERA-APP-P-2022-4265,RAJ/P/2022/1977 (11/05/2022),Jaipur,"VIJAY BADI, PATH NO.3, TEEN DUKAN, DEHAR KA BALAJI, WARD NO. 8",1633.72,2385.00,0
Alwar,Ashiana Tarang Phase IV A,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2022-4671,RAJ/P/2022/1953 (27/04/2022),Jaipur,"Lalkothi, Tonk Road",3483.00,52005.14,0
Jaipur,VIRAT KRISHNAV PHASE 2,GROUP HOUSING,VIRAT MURLI INFRA LLP,RAJ-RERA-APP-P-2022-4461,RAJ/P/2022/1927 (07/04/2022),Jaipur,VAISHALI NAGAR,878.67,7744.80,0
Jaipur,AKSHAR,GROUP HOUSING,SPARKLER DEVELOPERS LLP,RAJ-RERA-APP-P-2022-4348,RAJ/P/2022/1884 (08/03/2022),Sanganer,JAGATPURA,13374.29,19939.00,70
Kota,SHAGUN PRIME,PLOTTED,OWAIS CONSTRUCTION COMPANY PRIVATE LIMITED,RAJ-RERA-APP-P-2022-4134,RAJ/P/2022/1836 (06/02/2022),Ladpura,"SHAKTI VIHAR, KOTA",6865.69,15400.00,10
Sri Ganganagar,RANGOLI GARDEN,PLOTTED,OM IMPERIAL HEIGHT LLP,RAJ-RERA-APP-P-2022-4171,RAJ/P/2022/1834 (06/02/2022),Ganganagar,JAWAHAR NAGAR,19976.10,38720.00,15
Jaipur,GEETA Phase-III,GROUP HOUSING,Shubhashish Builders and Developers,RAJ-RERA-APP-P-2022-4184,RAJ/P/2022/1819 (28/01/2022),Jaipur,"Queens Road, Vaishali Nagar",5580.44,38116.51,0
