Registration Number,Building Name,Floor Details
PBRERA-SAS81-PR0819,P-91,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-92,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-93,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-94,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-95,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-96,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-97,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-98,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-99,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-100,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-101,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-102,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-103,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-104,"Number of Floor/Plots Currently Sanctioned: 0
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-105,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-106,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-107,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-108,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-109,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-110,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-111,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-112,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-113,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-114,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-115,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-116,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-117,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-118,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-119,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-120,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-121,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-122,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-123,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-124,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-125,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-126,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-127,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-128,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,BLOCK 01,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,BLOCK 1A,"Number of Floor/Plots Currently Sanctioned: 26
Number of Floor/Plots Proposed: 26
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,BLOCK 02,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,BLOCK 2B,"Number of Floor/Plots Currently Sanctioned: 26
Number of Floor/Plots Proposed: 26
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,BLOCK 2A,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
