"projectId","rescom","id"
"30496","RESIDENTIAL","188541893"
"10542","RESIDENTIAL","189232215"
"3340","RESIDENTIAL","86768981"
"56262","RESIDENTIAL","189234589"
"6296","RESIDENTIAL","18017244"
"37448","RESIDENTIAL","190206265"
"31246","RESIDENTIAL","30420263"
"76463","RESIDENTIAL","189235179"
"219431","RESIDENTIAL","159913689"
"125981","RESIDENTIAL","189236951"
"266270","RESIDENTIAL","222611475"
"266270","RESIDENTIAL","222611475"
"13432","RESIDENTIAL","189232555"
"255833","RESIDENTIAL","189475065"
"31680","RESIDENTIAL","86769025"
"98126","RESIDENTIAL","175166719"
"15540","RESIDENTIAL","188796217"
"73335","RESIDENTIAL","175471881"
"344363","RESIDENTIAL","208371411"
"344363","RESIDENTIAL","208371411"
"156181","RESIDENTIAL","187585089"
"309581","RESIDENTIAL","223405029"
"309581","RESIDENTIAL","223405029"
"122709","RESIDENTIAL","29783315"
"48128","RESIDENTIAL","190203999"
"325791","RESIDENTIAL","191089237"
"159281","RESIDENTIAL","189477473"
"148457","RESIDENTIAL","222144551"
"148457","RESIDENTIAL","222144551"
"46960","RESIDENTIAL","189234179"
"265877","RESIDENTIAL","76034861"
"82473","RESIDENTIAL","175321665"
"346705","RESIDENTIAL","212075201"
"346705","RESIDENTIAL","212075201"
"161497","RESIDENTIAL","66587143"
"60803","RESIDENTIAL","28460603"
"343187","RESIDENTIAL","208371517"
"343187","RESIDENTIAL","208371517"
"294761","RESIDENTIAL","223060081"
"294761","RESIDENTIAL","223060081"
"41840","RESIDENTIAL","212070747"
"41840","RESIDENTIAL","212070747"
"31792","RESIDENTIAL","188799821"
"4806","RESIDENTIAL","223626729"
"4806","RESIDENTIAL","223626729"
"170961","RESIDENTIAL","170206049"
"14696","RESIDENTIAL","188796091"
"125739","RESIDENTIAL","189022547"
"66712","RESIDENTIAL","212074773"
"66712","RESIDENTIAL","212074773"
"59222","RESIDENTIAL","189721251"
"16544","RESIDENTIAL","26907547"
"21894","RESIDENTIAL","35557587"
"54586","RESIDENTIAL","39244946"
"604","RESIDENTIAL","188792343"
"180529","RESIDENTIAL","189469933"
"42704","RESIDENTIAL","167062813"
"8762","RESIDENTIAL","163280015"
"310261","RESIDENTIAL","166120447"
"48172","RESIDENTIAL","52892432"
"339439","RESIDENTIAL","212075879"
"339439","RESIDENTIAL","212075879"
"21980","RESIDENTIAL","188798253"
"8552","RESIDENTIAL","223859381"
"8552","RESIDENTIAL","223859381"
"25616","RESIDENTIAL","222609193"
"25616","RESIDENTIAL","222609193"
"256195","RESIDENTIAL","189475199"
"5326","RESIDENTIAL","189903461"
"264905","RESIDENTIAL","190416069"
"239476","RESIDENTIAL","158166225"
"6180","RESIDENTIAL","223861965"
"6180","RESIDENTIAL","223861965"
"289773","RESIDENTIAL","175319371"
"123951","RESIDENTIAL","29959509"
