23442,SNN Raj Viviente,4 BHK 3891 Sq. Ft. Villa,3891 Sq. Ft.,Rs 4.80 Cr
24198,Total Environment Pursuit of a Radical Rhapsody,3 BHK 2753 Sq. Ft. Apartment,2753 Sq. Ft.,Rs 4.79 Cr
24198,Total Environment Pursuit of a Radical Rhapsody,3 BHK 4303 Sq. Ft. Apartment,4303 Sq. Ft.,Rs 7.50 Cr
24198,Total Environment Pursuit of a Radical Rhapsody,3 BHK 5385 Sq. Ft. Penthouse,5385 Sq. Ft.,Rs 9.38 Cr
24198,Total Environment Pursuit of a Radical Rhapsody,4 BHK 5669 Sq. Ft. Apartment,5669 Sq. Ft.,Rs 9.88 Cr
24198,Total Environment Pursuit of a Radical Rhapsody,4 BHK 4596 Sq. Ft. Villa,4596 Sq. Ft.,Rs 8.01 Cr
25082,Runwal Eirene,1 BHK 422 Sq. Ft. Apartment,422 Sq. Ft.,Rs 85.20 L
25082,Runwal Eirene,2 BHK 568 Sq. Ft. Apartment,568 Sq. Ft.,Rs 1.14 Cr
25082,Runwal Eirene,2 BHK 531 Sq. Ft. Apartment,531 Sq. Ft.,Rs 1.07 Cr
25082,Runwal Eirene,3 BHK 958 Sq. Ft. Apartment,958 Sq. Ft.,Rs 1.93 Cr
25082,Runwal Eirene,3 BHK 1059 Sq. Ft. Apartment,1059 Sq. Ft.,Rs 2.13 Cr
25082,Runwal Eirene,3 BHK 1174 Sq. Ft. Apartment,1174 Sq. Ft.,Rs 2.37 Cr
25082,Runwal Eirene,350 Sq. Ft. Studio,350 Sq. Ft.,Rs 70.66 L
30998,The Presidential Tower,3 BHK 1595 Sq. Ft. Apartment,1595 Sq. Ft.,Rs 1.13 Cr
30998,The Presidential Tower,3 BHK 2310 Sq. Ft. Apartment,1624 Sq. Ft.,Rs 1.64 Cr
30998,The Presidential Tower,3 BHK 2335 Sq. Ft. Apartment,1640 Sq. Ft.,Rs 1.66 Cr
30998,The Presidential Tower,3 BHK 2415 Sq. Ft. Apartment,1673 Sq. Ft.,Rs 1.72 Cr
30998,The Presidential Tower,4 BHK 3055 Sq. Ft. Apartment,2133 Sq. Ft.,Rs 2.17 Cr
33782,Salarpuria Sattva Magnificia,3 BHK 2186 Sq. Ft. Apartment,2186 Sq. Ft.,Rs 2.08 Cr
33782,Salarpuria Sattva Magnificia,3 BHK 2425 Sq. Ft. Apartment,2425 Sq. Ft.,Rs 2.30 Cr
33782,Salarpuria Sattva Magnificia,4 BHK 4050 Sq. Ft. Penthouse,4050 Sq. Ft.,Rs 4.23 Cr
33782,Salarpuria Sattva Magnificia,4 BHK 4010 Sq. Ft. Penthouse,4010 Sq. Ft.,Rs 4.19 Cr
40476,Godrej Platinum Mumbai,2 BHK 815 Sq. Ft. Apartment,815 Sq. Ft.,Rs 3.00 Cr
40476,Godrej Platinum Mumbai,2 BHK 1023 Sq. Ft. Apartment,1023 Sq. Ft.,Rs 3.77 Cr
40476,Godrej Platinum Mumbai,3 BHK 1190 Sq. Ft. Apartment,1190 Sq. Ft.,Rs 4.39 Cr
40476,Godrej Platinum Mumbai,3 BHK 1298 Sq. Ft. Apartment,1298 Sq. Ft.,Rs 4.78 Cr
40476,Godrej Platinum Mumbai,4 BHK 1965 Sq. Ft. Penthouse,1965 Sq. Ft.,Rs 7.24 Cr
49816,Sikka Kaamya Greens,2 BHK 890 Sq. Ft. Apartment,890 Sq. Ft.,Price on Request
49816,Sikka Kaamya Greens,2 BHK 990 Sq. Ft. Apartment,990 Sq. Ft.,Price on Request
49816,Sikka Kaamya Greens,3 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Price on Request
49816,Sikka Kaamya Greens,3 BHK 1315 Sq. Ft. Apartment,1315 Sq. Ft.,Price on Request
49816,Sikka Kaamya Greens,3 BHK 1400 Sq. Ft. Apartment,1400 Sq. Ft.,Price on Request
49816,Sikka Kaamya Greens,4 BHK 1615 Sq. Ft. Apartment,1615 Sq. Ft.,Price on Request
49816,Sikka Kaamya Greens,4 BHK 1695 Sq. Ft. Apartment,1695 Sq. Ft.,Price on Request
50184,Pacifica San Lucas,2 BHK 798 Sq. Ft. Apartment,798 Sq. Ft.,Price on Request
50184,Pacifica San Lucas,3 BHK 910 Sq. Ft. Apartment,910 Sq. Ft.,Price on Request
50184,Pacifica San Lucas,3 BHK 968 Sq. Ft. Apartment,968 Sq. Ft.,Price on Request
50184,Pacifica San Lucas,4 BHK 1470 Sq. Ft. Apartment,1470 Sq. Ft.,Price on Request
50184,Pacifica San Lucas,4 BHK 1469 Sq. Ft. Apartment,1469 Sq. Ft.,Price on Request
55744,Fortuna Acacia,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Rs 94.64 L
55744,Fortuna Acacia,2 BHK 1300 Sq. Ft. Apartment,1300 Sq. Ft.,Rs 1.11 Cr
55744,Fortuna Acacia,3 BHK 1630 Sq. Ft. Apartment,1630 Sq. Ft.,Rs 1.40 Cr
58272,Omaxe Lake,2 BHK 1260 Sq. Ft. Apartment,-,Rs 46.03 Lac
58272,Omaxe Lake,2 BHK 1285 Sq. Ft. Apartment,-,Rs 46.94 Lac
58272,Omaxe Lake,3 BHK 1885 Sq. Ft. Apartment,-,Rs 68.86 Lac
58272,Omaxe Lake,4 BHK 2300 Sq. Ft. Apartment,-,Rs 84.02 Lac
58272,Omaxe Lake,4 BHK 2760 Sq. Ft. Apartment,-,Rs 1.01 Cr
58272,Omaxe Lake,4 BHK 4450 Sq. Ft. Apartment,-,Rs 1.63 Cr
58272,Omaxe Lake,4 BHK 5300 Sq. Ft. Apartment,-,Rs 1.94 Cr
59796,Chandak 34 Park Estate,1 BHK 391 Sq. Ft. Apartment,391 Sq. Ft.,Rs 1.06 Cr
59796,Chandak 34 Park Estate,2 BHK 494 Sq. Ft. Apartment,494 Sq. Ft.,Rs 1.34 Cr
59796,Chandak 34 Park Estate,2 BHK 617 Sq. Ft. Apartment,617 Sq. Ft.,Rs 1.68 Cr
59796,Chandak 34 Park Estate,3 BHK 820 Sq. Ft. Apartment,820 Sq. Ft.,Rs 2.23 Cr
61839,Mahidhara Fortune City,2400 Sq. Ft. Plot,2400 Sq. Ft.,Price on Request
61839,Mahidhara Fortune City,2000 Sq. Ft. Plot,2000 Sq. Ft.,Price on Request
62053,Mounthill Essence,1 BHK 760 Sq. Ft. Apartment,382 Sq. Ft.,Rs 25.08 Lac
62053,Mounthill Essence,2 BHK 660 Sq. Ft. Apartment,564 Sq. Ft.,Rs 21.78 Lac
