XID number,Project Name,City,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,,,,72Projects
426159,Nimbus The Palm Village,Noida,https://nimbusgroup.net/nimbus-the-palm-village/,NA,https://www.magicbricks.com/nimbus-the-palm-village-yamuna-expressway-greater-noida-pdpid-4d4235343230363035,NA,NA,NA,https://housing.com/in/buy/projects/page/319921-nimbus-the-palm-village-by-nimbus-realty-in-jewar,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/nimbus-the-palm-village/247100/project,NA,NA,NA,,,,,426159
426520,Conscient Parq,Gurugram,https://www.conscient.in/parq.php,NA,https://www.magicbricks.com/parq-sector-80-gurgaon-pdpid-4d4235343230373839,NA,NA,NA,https://housing.com/in/buy/projects/page/320891-conscient-parq-by-conscient-infrastructure-in-sector-80,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/conscient-parq/247842/project,NA,NA,NA,,,,,426520
404068,M3M Crown,Gurugram,https://m3mindia.com/residential/m3m-crown,NA,https://www.magicbricks.com/m3m-crown-phase-1-sector-111-gurgaon-pdpid-4d4235333933333337,NA,NA,NA,https://housing.com/in/buy/projects/page/288734-m3m-crown-by-m3m-india-pvt-ltd-in-sector-111,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-crown/214724/project,NA,NA,NA,,,,,404068
327273,County 107,Noida,https://www.countygroup.in/county107/mobile/,NA,https://www.magicbricks.com/county-107-sector-107-noida-pdpid-4d4235313234373439,NA,NA,NA,https://housing.com/in/buy/projects/page/198060-county-107-by-county-group-in-sector-107,NA,NA,NA,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project,NA,NA,NA,,,,,327273
434608,Eldeco Fairway Reserve,Gurugram,https://www.eldecogroup.com/projects/residential/ncr-delhi/gurgaon/ongoing/eldeco-fairway-reserve/overview,NA,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137,NA,NA,NA,https://housing.com/in/buy/projects/page/332463-eldeco-fairway-reserve-by-eldeco-infrastructure-properties-limited-in-sector-80,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/eldeco-fairway-reserve/324073/project,NA,NA,NA,,,,,434608
378131,M3M Soulitude,Gurugram,https://m3mindia.com/residential/m3m-soulitude,NA,https://www.magicbricks.com/m3m-soulitude-sector-89-gurgaon-pdpid-4d4235333234383739,NA,NA,NA,https://housing.com/in/buy/projects/page/261019-m3m-soulitude-by-m3m-india-pvt-ltd-in-sector-89,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-soulitude/106807/project,NA,NA,NA,,,,,378131
333369,Emaar Digihomes,Gurugram,https://www.emaar-realty.com/Digi-Homes/,NA,https://www.magicbricks.com/emaar-digi-homes-sector-62-gurgaon-pdpid-4d4235313234343135,NA,NA,NA,https://housing.com/in/buy/projects/page/198354-emaar-digi-homes-by-emaar-in-sector-62,NA,NA,NA,NA,NA,NA,NA,,,,,333369
404772,Central Park The Orchard,Gurugram,https://www.centralpark.in/the-orchard.php,NA,https://www.magicbricks.com/central-park-the-orchard-sohna-sector-32-gurgaon-pdpid-4d4235343034333833,NA,NA,NA,https://housing.com/in/buy/projects/page/293320-central-park-the-orchard-by-central-park-in-sector-32-sohna,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/central-park-the-orchard/217447/project,NA,NA,NA,,,,,404772
390137,Tulip Monsella,Gurugram,https://www.tulipmonsella.com/,NA,https://www.magicbricks.com/tulip-monsella-sector-53-gurgaon-pdpid-4d4235333332313237,NA,NA,NA,https://housing.com/in/buy/projects/page/277126-tulip-monsella-by-tulip-infratech-pvt-ltd-in-sector-53,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/tulip-monsella/113706/project,NA,NA,NA,,,,,390137
403842,Adani Samsara Avasa,Gurugram,https://www.adanirealty.com/residential-projects/gurugram/samsara,NA,https://www.magicbricks.com/adani-samsara-avasa-sector-63-gurgaon-pdpid-4d4235343035303531,NA,NA,NA,https://housing.com/in/buy/projects/page/295441-adani-samsara-avasa-by-adani-realty-in-sector-63,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/adani-samsara-vilasa/14119/project,NA,NA,NA,,,,,403842
