xid,floorplans,Formatted Floor Plans
426159,"[('Saleable', '1 BHK 525 Sq. Ft. Apartment', '(Carpet)', '248 Sq. Ft.', 'Rs 55.00 Lac'), ('Saleable', '3 BHK 2150 Sq. Ft. Ind Floor', '(Carpet)', '1128 Sq. Ft.', 'Rs 1.67 Cr'), ('Saleable', '3 BHK 2100 Sq. Ft. Ind Floor', '(Carpet)', '1066 Sq. Ft.', 'Rs 1.63 Cr'), ('Saleable', '3 BHK 2175 Sq. Ft. Ind Floor', '(Carpet)', '1128 Sq. Ft.', 'Rs 1.69 Cr')]","1 BHK Apartment, Saleable, 525 Sq., Carpet, , Rs 55.00 Lac | 3 BHK Ind Floor, Saleable, 2150 Sq., Carpet, , Rs 1.67 Cr | 3 BHK Ind Floor, Saleable, 2100 Sq., Carpet, , Rs 1.63 Cr | 3 BHK Ind Floor, Saleable, 2175 Sq., Carpet, , Rs 1.69 Cr"
426520,"[('Saleable', '3 BHK 1945 Sq. Ft. Apartment', '(Saleable)', '1945 Sq. Ft.', 'Rs 3.25 Cr'), ('Saleable', '3 BHK 2395 Sq. Ft. Apartment', '(Saleable)', '2395 Sq. Ft.', 'Rs 4.00 Cr'), ('Saleable', '4 BHK 2850 Sq. Ft. Apartment', '(Saleable)', '2850 Sq. Ft.', 'Rs 4.76 Cr')]","3 BHK Apartment, Saleable, 1945 Sq., Saleable, , Rs 3.25 Cr | 3 BHK Apartment, Saleable, 2395 Sq., Saleable, , Rs 4.00 Cr | 4 BHK Apartment, Saleable, 2850 Sq., Saleable, , Rs 4.76 Cr"
404068,"[('Saleable', '3 BHK 1555 Sq. Ft. Apartment', '(Saleable)', '1555 Sq. Ft.', 'Rs 3.19 Cr'), ('Saleable', '3 BHK 2050 Sq. Ft. Apartment', '(Saleable)', '2050 Sq. Ft.', 'Rs 4.20 Cr'), ('Saleable', '4 BHK 2270 Sq. Ft. Apartment', '(Saleable)', '2270 Sq. Ft.', 'Rs 4.65 Cr'), ('Saleable', '4 BHK 2525 Sq. Ft. Apartment', '(Saleable)', '2525 Sq. Ft.', 'Rs 5.18 Cr')]","3 BHK Apartment, Saleable, 1555 Sq., Saleable, , Rs 3.19 Cr | 3 BHK Apartment, Saleable, 2050 Sq., Saleable, , Rs 4.20 Cr | 4 BHK Apartment, Saleable, 2270 Sq., Saleable, , Rs 4.65 Cr | 4 BHK Apartment, Saleable, 2525 Sq., Saleable, , Rs 5.18 Cr"
327273,"[('Saleable', '4 BHK 3501 Sq. Ft. Apartment', '(Carpet)', '2085 Sq. Ft.', 'Rs 7.70 Cr'), ('Saleable', '4 BHK 4482 Sq. Ft. Apartment', '(Carpet)', '2570 Sq. Ft.', 'Rs 9.86 Cr'), ('Saleable', '5 BHK 6570 Sq. Ft. Apartment', '(Carpet)', '3904 Sq. Ft.', 'Rs 14.45 Cr')]","4 BHK Apartment, Saleable, 3501 Sq., Carpet, , Rs 7.70 Cr | 4 BHK Apartment, Saleable, 4482 Sq., Carpet, , Rs 9.86 Cr | 5 BHK Apartment, Saleable, 6570 Sq., Carpet, , Rs 14.45 Cr"
434608,"[('Saleable', '3 BHK 2200 Sq. Ft. Apartment', '(Saleable)', '2200 Sq. Ft.', 'Rs 3.74 Cr'), ('Saleable', '4 BHK 2875 Sq. Ft. Apartment', '(Saleable)', '2875 Sq. Ft.', 'Rs 4.89 Cr'), ('Saleable', '4 BHK 3600 Sq. Ft. Apartment', '(Saleable)', '3600 Sq. Ft.', 'Rs 6.12 Cr')]","3 BHK Apartment, Saleable, 2200 Sq., Saleable, , Rs 3.74 Cr | 4 BHK Apartment, Saleable, 2875 Sq., Saleable, , Rs 4.89 Cr | 4 BHK Apartment, Saleable, 3600 Sq., Saleable, , Rs 6.12 Cr"
378131,"[('Saleable', '2 BHK 1158 Sq. Ft. Ind Floor', '(Saleable)', '1158 Sq. Ft.', 'Rs 1.59 Cr'), ('Saleable', '3 BHK 1494 Sq. Ft. Ind Floor', '(Saleable)', '1494 Sq. Ft.', 'Rs 2.05 Cr'), ('Saleable', '3 BHK 1620 Sq. Ft. Ind Floor', '(Saleable)', '1620 Sq. Ft.', 'Rs 2.23 Cr')]","2 BHK Ind Floor, Saleable, 1158 Sq., Saleable, , Rs 1.59 Cr | 3 BHK Ind Floor, Saleable, 1494 Sq., Saleable, , Rs 2.05 Cr | 3 BHK Ind Floor, Saleable, 1620 Sq., Saleable, , Rs 2.23 Cr"
404772,"[('Saleable', '3 BHK 2129 Sq. Ft. Ind Floor', '(Saleable)', '2129 Sq. Ft.', 'Rs 4.26 Cr'), ('Saleable', '3 BHK 2327 Sq. Ft. Ind Floor', '(Saleable)', '2327 Sq. Ft.', 'Rs 4.65 Cr'), ('Saleable', '4 BHK 4150 Sq. Ft. Ind Floor', '(Saleable)', '4150 Sq. Ft.', 'Rs 8.30 Cr')]","3 BHK Ind Floor, Saleable, 2129 Sq., Saleable, , Rs 4.26 Cr | 3 BHK Ind Floor, Saleable, 2327 Sq., Saleable, , Rs 4.65 Cr | 4 BHK Ind Floor, Saleable, 4150 Sq., Saleable, , Rs 8.30 Cr"
390137,"[('Saleable', '3 BHK 2874 Sq. Ft. Apartment', '(Carpet)', '1638 Sq. Ft.', 'Rs 11.50 Cr'), ('Saleable', '3 BHK 2892 Sq. Ft. Apartment', '(Carpet)', '1647 Sq. Ft.', 'Rs 11.57 Cr'), ('Saleable', '4 BHK 3684 Sq. Ft. Apartment', '(Carpet)', '2229 Sq. Ft.', 'Rs 14.74 Cr'), ('Saleable', '5 BHK 4503 Sq. Ft. Apartment', '(Carpet)', '2822 Sq. Ft.', 'Rs 18.01 Cr')]","3 BHK Apartment, Saleable, 2874 Sq., Carpet, , Rs 11.50 Cr | 3 BHK Apartment, Saleable, 2892 Sq., Carpet, , Rs 11.57 Cr | 4 BHK Apartment, Saleable, 3684 Sq., Carpet, , Rs 14.74 Cr | 5 BHK Apartment, Saleable, 4503 Sq., Carpet, , Rs 18.01 Cr"
403842,"[('Saleable', '3 BHK 1800 Sq. Ft. Ind Floor', '(Saleable)', '1800 Sq. Ft.', 'Rs 3.94 Cr'), ('Saleable', '3 BHK 1870 Sq. Ft. Ind Floor', '(Saleable)', '1870 Sq. Ft.', 'Rs 4.09 Cr'), ('Saleable', '3 BHK 2033 Sq. Ft. Ind Floor', '(Saleable)', '2033 Sq. Ft.', 'Rs 4.45 Cr'), ('Saleable', '3 BHK 2059 Sq. Ft. Ind Floor', '(Saleable)', '2059 Sq. Ft.', 'Rs 4.60 Cr'), ('Saleable', '4 BHK 2750 Sq. Ft. Ind Floor', '(Saleable)', '2750 Sq. Ft.', 'Rs 5.30 Cr'), ('Saleable', '4 BHK 2321 Sq. Ft. Ind Floor', '(Saleable)', '2321 Sq. Ft.', 'Rs 5.10 Cr'), ('Saleable', '4 BHK 2733 Sq. Ft. Ind Floor', '(Saleable)', '2733 Sq. Ft.', 'Rs 5.95 Cr')]","3 BHK Ind Floor, Saleable, 1800 Sq., Saleable, , Rs 3.94 Cr | 3 BHK Ind Floor, Saleable, 1870 Sq., Saleable, , Rs 4.09 Cr | 3 BHK Ind Floor, Saleable, 2033 Sq., Saleable, , Rs 4.45 Cr | 3 BHK Ind Floor, Saleable, 2059 Sq., Saleable, , Rs 4.60 Cr | 4 BHK Ind Floor, Saleable, 2750 Sq., Saleable, , Rs 5.30 Cr | 4 BHK Ind Floor, Saleable, 2321 Sq., Saleable, , Rs 5.10 Cr | 4 BHK Ind Floor, Saleable, 2733 Sq., Saleable, , Rs 5.95 Cr"
403945,"[('Saleable', '3 BHK 1390 Sq. Ft. Apartment', '(Saleable)', '1390 Sq. Ft.', 'Rs 1.67 Cr'), ('Saleable', '3 BHK 1925 Sq. Ft. Apartment', '(Saleable)', '1925 Sq. Ft.', 'Rs 2.31 Cr'), ('Saleable', '4 BHK 2150 Sq. Ft. Apartment', '(Saleable)', '2150 Sq. Ft.', 'Rs 2.58 Cr'), ('Saleable', '4 BHK 2550 Sq. Ft. Apartment', '(Saleable)', '2550 Sq. Ft.', 'Rs 3.06 Cr')]","3 BHK Apartment, Saleable, 1390 Sq., Saleable, , Rs 1.67 Cr | 3 BHK Apartment, Saleable, 1925 Sq., Saleable, , Rs 2.31 Cr | 4 BHK Apartment, Saleable, 2150 Sq., Saleable, , Rs 2.58 Cr | 4 BHK Apartment, Saleable, 2550 Sq., Saleable, , Rs 3.06 Cr"
