Index,data_point_name,99acres,C1,C2,C3,,,,,,,
272653,Price Range,2.69 Cr,? 61.0 Lac - ? 3.90 Cr,64.18 L - 1.55 Cr,Not Available,,,,,,,
334709,Price Range,79.45 L - 3.13 Cr,? 1.18 Cr - ? 3.22 Cr,63.64 L - 2.81 Cr,?1.50 Cr - 3.22 Cr,,,,,,,
431965,Price Range,9.44 - 15.35 Cr,2.05 Cr - ? 4.63 Cr,4.32 Cr - 10.4 Cr,?2.54 Cr - 5.75 Cr,,,,,,,
431964,Price Range,9.44 - 15.35 Cr,4.47 Cr - ? 14.53 Cr,5.76 Cr - 11.72 Cr,6.21 Cr - 8.51 Cr,,,,,,,
425268,Price Range,1.83 - 9.66 Cr,2.80 Cr - ? 5.52 Cr,2.36 Cr - 2.78 Cr,?3.55 Cr - 6.50 Cr,,,,,,,
394731,Price Range,3.03 - 5.44 Cr,? 2.71 Cr - ? 5.50 Cr,?3.18 Cr - 5.58 Cr,?2.80 Cr - 6.20 Cr,,,,,,,
88315,Price Range,3.46 - 8.31 Cr,Rs 1.62 Cr - Rs 4.34 Cr,2.45 Cr - 4.59 Cr,Rs1.59 Cr - 3.99 Cr,,,,,,,
370898,Price Range,56.9 L - 1.94 Cr,Not available,?70.09 L - 1.8 Cr,?54.99 Lac - 1.39 Cr,,,,,,,
430588,Project Address,"Sector 1 Greater Noida West , Greater Noida","Jaypee Greens, Greater Noida","Plot No B-11, Jaypee Greens, Pari Chowk, Alpha 2, Greater Noida","Jaypee Greens, Greater Noida",,,,,,,
432470,Project Address,"Sector-12 , Greater Noida","Sector 12, Greater Noida","Sector 12, Greater Noida","Sector 12 Greater Noida, Greater Noida",,,,,,,
298821,Project Address,"Sector 128 , Noida","Jaypee Greens, Greater Noida","Plot No B-11, Jaypee Greens, Pari Chowk, Alpha 2, Greater Noida","Jaypee Greens, Greater Noida",,,,,,,
410631,Project Address,"Sector 94 , Noida","Sector 94, Noida","Sector 94, Noida-Greater Noida Expressway, Noida","Sector 94, Noida",,,,,,,
418319,Project Address,Chikkavaderapura,"Sarjapur Road, Bangalore","Opp Muneswara Swami Temple Chikkavaderapura, Dommasandra, Bangalore East , Thigala Chowdadenahalli","Sarjapur Road, Bangalore",,,,,,,
348347,Project Address,"Mulund West , Central Mumbai","Mulund West, Mumbai","LBS Road, Opp. Friends Academy School, Central Mumbai Suburbs, Mumbai","Mulund West, Mumbai",,,,,,,
387255,Project Address,"Powai , Central Mumbai","Powai, Mumbai","Kurla, Powai, Central Mumbai Suburbs, Mumbai","Powai, Mumbai",,,,,,,
272653,Project Address,"Ghatkopar East , Central Mumbai","Ghatkopar East, Mumbai","Ghatkopar East, Central Mumbai Suburbs, Mumbai",Not Available,,,,,,,
334709,Project Address,"Mulund West , Central Mumbai","Mulund West, Mumbai","Goregaon Mulund Link Road, Mulund West, Central Mumbai Suburbs, Mumbai","Mulund West, Mumbai",,,,,,,
431965,Project Address,"Sector 44 , Noida","Wave City, Ghaziabad","Wave City, NH 24, NH - 24 Ghaziabad, Ghaziabad","Sector 3 Wave City, Ghaziabad",,,,,,,
431964,Project Address,"Sector 44 , Noida","Sector 44, Noida","Sector 44, Noida","Sector 44, Noida",,,,,,,
425268,Project Address,"Sector 146 , Noida","Sector 146, Noida","Plot No. GH-01B, Sector-146, Noida-Greater Noida Expressway, Jhatta","Sector 146, Noida",,,,,,,
394731,Project Address,"Mahim West , Mumbai South","Mahim, Mumbai","Plot No 1500 Part, Mahim, Western Suburbs, Mumbai","Mahim, Mumbai",,,,,,,
88315,Project Address,"Byculla , Mumbai South","Byculla East, Mumbai","Harish Arjun Palay Marg, New Patra Chawl, Dhaku Prabhuchi Wadi, Byculla East, Byculla, Central Mumbai Suburbs, Mumbai","Byculla, Mumbai",,,,,,,
370898,Project Address,"Panvel , Navi Mumbai","Panvel, Navi Mumbai","Old Mumbai Pune Highway, Khanawale, Panvel, Navi Mumbai","Poyanje, Navi Mumbai",,,,,,,
430588,Project Area,3.64 acres,9018 Sq-m,2.22 Acres,2.5 Acres,,,,,,,
432470,Project Area,7.41 acres,7 acre,7.41 Acres (65% open),7.41 acres,,,,,,,
298821,Project Area,2.69 acres,9018 Sq-m,2.22 Acres,2.5 Acres,,,,,,,
410631,Project Area,11.42 acres,12 Acre,12.8 Acres,11.42 Acres,,,,,,,
418319,Project Area,14.924918 acres,14 Acre,14 Acres,14 Acres,,,,,,,
348347,Project Area,3.79 acres,4 Acre,3.79 Acres,3.79 Acres,,,,,,,
387255,Project Area,1.69 acres,10454 Sq-ft,0.24 Acres,60 Acres,,,,,,,
272653,Project Area,0.98 acres,3 Acre,2.65 Acres,Not Available,,,,,,,
334709,Project Area,1.21 acres,1 Acre,1.5 Acres,1.21 Acres,,,,,,,
431965,Project Area,6.46 acres,Not available,11.79 Acres,11.8 Acres,,,,,,,
431964,Project Area,6.46 acres,Not available,6.45 Acres,6.5 Acres,,,,,,,
425268,Project Area,6.18 acres,6 Acre,Not Available,6.18 Acres,,,,,,,
394731,Project Area,1.57 acres,2 Acre,0.61 acres,2.5 acres,,,,,,,
88315,Project Area,2.27 acres,3 Acre,3 Acres,3 Acres,,,,,,,
