XID,Unit Type,Unit Size,Area Type,Price,Possession Date
r396695,3 BHK,2177 sq.ft,Super Area,2.14 Cr,Possession by Mar'26
r396695,3 BHK,2191 sq.ft,Super Area,2.15 Cr,Possession by Mar'26
r396695,3 BHK,2228 sq.ft,Super Area,2.19 Cr,Possession by Mar'26
r396695,3 BHK,2234 sq.ft,Super Area,2.19 Cr,Possession by Mar'26
r396695,3 BHK,2240 sq.ft,Super Area,2.20 Cr,Possession by Mar'26
r396695,3 BHK,2252 sq.ft,Super Area,2.20 Cr,Possession by Mar'26
r396695,3 BHK,2307 sq.ft,Super Area,2.26 Cr,Possession by Mar'26
r396695,3 BHK,2310 sq.ft,Super Area,2.27 Cr,Possession by Mar'26
r396695,3 BHK,2323 sq.ft,Super Area,2.28 Cr,Possession by Mar'26
r396695,3 BHK,2331 sq.ft,Super Area,2.29 Cr,Possession by Mar'26
r396695,3 BHK,2335 sq.ft,Super Area,2.29 Cr,Possession by Mar'26
r396695,3 BHK,2341 sq.ft,Super Area,2.30 Cr,Possession by Mar'26
r396695,3 BHK,2342 sq.ft,Super Area,2.30 Cr,Possession by Mar'26
r396695,3 BHK,2343 sq.ft,Super Area,2.30 Cr,Possession by Mar'26
r396695,3 BHK,2367 sq.ft,Super Area,2.32 Cr,Possession by Mar'26
r396695,3 BHK,2419 sq.ft,Super Area,2.37 Cr,Possession by Mar'26
r396695,3 BHK,2428 sq.ft,Super Area,2.38 Cr,Possession by Mar'26
r396695,3 BHK,2532 sq.ft,Super Area,2.49 Cr,Possession by Mar'26
r396695,3 BHK,2700 sq.ft,Super Area,3.60 Cr,Possession by Mar'26
r420343,3 BHK,1306 sq.ft,Super Area,1.18 Cr,Possession by Dec'27
r420343,3 BHK,1321 sq.ft,Super Area,1.20 Cr,Possession by Dec'27
r420343,3 BHK,1450 sq.ft,Super Area,1.32 Cr,Possession by Dec'27
r420343,2 BHK,988 sq.ft,Super Area,90 Lac,Possession by Dec'27
r420343,2 BHK,1022 sq.ft,Super Area,93 Lac,Possession by Dec'27
r420343,2 BHK,1063 sq.ft,Super Area,96.8 Lac,Possession by Dec'27
r420343,2 BHK,1066 sq.ft,Super Area,97.1 Lac,Possession by Dec'27
r409301,Residential plot,600 sq.ft,Super Area,18 Lac,Possession by Dec'25
r409301,Residential plot,625 sq.ft,Super Area,18.8 Lac,Possession by Dec'25
r409301,Residential plot,650 sq.ft,Super Area,19.5 Lac,Possession by Dec'25
r409301,Residential plot,675 sq.ft,Super Area,20.3 Lac,Possession by Dec'25
r409301,Residential plot,700 sq.ft,Super Area,21 Lac,Possession by Dec'25
r409301,Residential plot,764 sq.ft,Super Area,22.9 Lac,Possession by Dec'25
r409301,Residential plot,800 sq.ft,Super Area,24 Lac,Possession by Dec'25
r409301,Residential plot,810 sq.ft,Super Area,24.3 Lac,Possession by Dec'25
r409301,Residential plot,821 sq.ft,Super Area,24.6 Lac,Possession by Dec'25
r409301,Residential plot,850 sq.ft,Super Area,25.5 Lac,Possession by Dec'25
r409301,Residential plot,904 sq.ft,Super Area,27.1 Lac,Possession by Dec'25
r409301,Residential plot,911 sq.ft,Super Area,27.3 Lac,Possession by Dec'25
r409301,Residential plot,918 sq.ft,Super Area,27.5 Lac,Possession by Dec'25
r409301,Residential plot,978 sq.ft,Super Area,29.3 Lac,Possession by Dec'25
r409301,Residential plot,1000 sq.ft,Super Area,30 Lac,Possession by Dec'25
r409301,Residential plot,1162 sq.ft,Super Area,34.9 Lac,Possession by Dec'25
r409301,Residential plot,1200 sq.ft,Super Area,36 Lac,Possession by Dec'25
r409301,Residential plot,1500 sq.ft,Super Area,45 Lac,Possession by Dec'25
r418355,3 BHK,1386 sq.ft,Super Area,74.8 Lac,Possession by Dec'26
r418355,3 BHK,1511 sq.ft,Super Area,81.6 Lac,Possession by Dec'26
r418355,3 BHK,1538 sq.ft,Super Area,83.1 Lac,Possession by Dec'26
r418355,3 BHK,1650 sq.ft,Super Area,89.1 Lac,Possession by Dec'26
r418355,3 BHK,1732 sq.ft,Super Area,93.5 Lac,Possession by Dec'26
r418355,3 BHK,1738 sq.ft,Super Area,93.9 Lac,Possession by Dec'26
r418355,3 BHK,1822 sq.ft,Super Area,98.4 Lac,Possession by Dec'26
r418355,3 BHK,1916 sq.ft,Super Area,1.03 Cr,Possession by Dec'26
r418355,3 BHK,2042 sq.ft,Super Area,1.15 Cr,Possession by Dec'26
r418355,2 BHK,1154 sq.ft,Super Area,65.3 Lac,Possession by Dec'26
r418355,2 BHK,1203 sq.ft,Super Area,65 Lac,Possession by Dec'26
r418355,2 BHK,1296 sq.ft,Super Area,70 Lac,Possession by Dec'26
r418355,2 BHK,1304 sq.ft,Super Area,70.4 Lac,Possession by Dec'26
r418355,2 BHK,1305 sq.ft,Super Area,70.5 Lac,Possession by Dec'26
r418355,2 BHK,1310 sq.ft,Super Area,70.7 Lac,Possession by Dec'26
r418355,2 BHK,1378 sq.ft,Super Area,74.4 Lac,Possession by Dec'26
r55744,3 BHK,1500 sq.ft,Super Area,1.48 Cr,Possession by Mar'21
r55744,3 BHK,1550 sq.ft,Super Area,1.40 Cr,Possession by Mar'21
r55744,2 BHK,1100 sq.ft,Super Area,1.08 Cr,Possession by Mar'21
r55744,2 BHK,1121 sq.ft,Super Area,1.12 Cr,Possession by Mar'21
r375652,Commercial office space,1400 sq.ft,Super Area,Price Not Available,Possession by Dec'26
r375652,3 BHK,1566 sq.ft,Super Area,1.78 Cr,Possession by Dec'26
r375652,3 BHK,1879 sq.ft,Super Area,1.78 Cr,Possession by Dec'26
r427636,3 BHK,1041 sq.ft,Super Area,99 Lac,Possession by Mar'34
r427636,3 BHK,1073 sq.ft,Super Area,1.47 Cr,Possession by Mar'34
r427636,3 BHK,1137 sq.ft,Super Area,1.56 Cr,Possession by Mar'34
r427636,3 BHK,1151 sq.ft,Super Area,1.58 Cr,Possession by Mar'34
r427636,3 BHK,1394 sq.ft,Super Area,1.33 Cr,Possession by Mar'34
r427636,2 BHK,777 sq.ft,Super Area,98.8 Lac,Possession by Mar'34
r427636,2 BHK,801 sq.ft,Super Area,1.05 Cr,Possession by Mar'34
r427636,2 BHK,1010 sq.ft,Super Area,94.9 Lac,Possession by Mar'34
r334623,3 BHK,1017 sq.ft,Super Area,1.08 Cr,Possession by Dec'27
r334623,3 BHK,1078 sq.ft,Super Area,1.15 Cr,Possession by Dec'27
r334623,3 BHK,1108 sq.ft,Super Area,1.18 Cr,Possession by Dec'27
r334623,3 BHK,1326 sq.ft,Super Area,1.08 Cr,Possession by Dec'27
r334623,2 BHK,1030 sq.ft,Super Area,90.5 Lac,Possession by Dec'27
r334623,2 BHK,1050 sq.ft,Super Area,92.2 Lac,Possession by Dec'27
r334623,2 BHK,1058 sq.ft,Super Area,92.9 Lac,Possession by Dec'27
r334623,2 BHK,1080 sq.ft,Super Area,94.8 Lac,Possession by Dec'27
r334623,2 BHK,1108 sq.ft,Super Area,97.3 Lac,Possession by Dec'27
r334623,2 BHK,1109 sq.ft,Super Area,97.4 Lac,Possession by Dec'27
r334623,2 BHK,1110 sq.ft,Super Area,97.5 Lac,Possession by Dec'27
r334623,2 BHK,1150 sq.ft,Super Area,1 Cr,Possession by Dec'27
r334623,2 BHK,1200 sq.ft,Super Area,1.05 Cr,Possession by Dec'27
r377128,3 BHK,930 sq.ft,Super Area,45 Lac,Possession by Dec'25
r377128,3 BHK,1110 sq.ft,Super Area,53 Lac,Possession by Dec'25
